fname,raw_text,text
Commercial Oven Door Mechanism and Open Close.wav,A door is being opened and closed over and over.,a door is being opened and closed over and over
Commercial Oven Door Mechanism and Open Close.wav,A door is being opened and closed repeatedly.,a door is being opened and closed repeatedly
Commercial Oven Door Mechanism and Open Close.wav,A door latch being pulled and a door opening and shutting in a repeated fashion.,a door latch being pulled and a door opening and shutting in a repeated fashion
Commercial Oven Door Mechanism and Open Close.wav,A door latch is being pulled and a door is opening and shutting in a repeated fashion.,a door latch is being pulled and a door is opening and shutting in a repeated fashion
Commercial Oven Door Mechanism and Open Close.wav,A gun shot occurs while a person loads it several times.,a gun shot occurs while a person loads it several times
Commercial Oven Door Mechanism and Open Close_cap_1.wav,A door is being opened and closed over and over.,a door is being opened and closed over and over
Commercial Oven Door Mechanism and Open Close_cap_2.wav,A door is being opened and closed repeatedly.,a door is being opened and closed repeatedly
Commercial Oven Door Mechanism and Open Close_cap_3.wav,A door latch being pulled and a door opening and shutting in a repeated fashion.,a door latch being pulled and a door opening and shutting in a repeated fashion
Commercial Oven Door Mechanism and Open Close_cap_4.wav,A door latch is being pulled and a door is opening and shutting in a repeated fashion.,a door latch is being pulled and a door is opening and shutting in a repeated fashion
Commercial Oven Door Mechanism and Open Close_cap_5.wav,A gun shot occurs while a person loads it several times.,a gun shot occurs while a person loads it several times
january birds yorkshire.wav,A gentle wind blowing behind several birds chirping.,a gentle wind blowing behind several birds chirping
january birds yorkshire.wav,Birds chirping with a gentle wind in the background.,birds chirping with a gentle wind in the background
january birds yorkshire.wav,Small birds singing in the distance were almost inaudible.,small birds singing in the distance were almost inaudible
january birds yorkshire.wav,"The gentle sound of birds chirping, calling, and singing in the background.",the gentle sound of birds chirping calling and singing in the background
january birds yorkshire.wav,"faint sound of birds chirping in the distance,",faint sound of birds chirping in the distance
january birds yorkshire_cap_1.wav,A gentle wind blowing behind several birds chirping.,a gentle wind blowing behind several birds chirping
january birds yorkshire_cap_2.wav,Birds chirping with a gentle wind in the background.,birds chirping with a gentle wind in the background
january birds yorkshire_cap_3.wav,Small birds singing in the distance were almost inaudible.,small birds singing in the distance were almost inaudible
january birds yorkshire_cap_4.wav,"The gentle sound of birds chirping, calling, and singing in the background.",the gentle sound of birds chirping calling and singing in the background
january birds yorkshire_cap_5.wav,"faint sound of birds chirping in the distance,",faint sound of birds chirping in the distance
kitchen.wav,A ball being dropped on a table then rolled.,a ball being dropped on a table then rolled
kitchen.wav,A ball drops on a table then rolls.,a ball drops on a table then rolls
kitchen.wav,Amid the silence an item is being moved.,amid the silence an item is being moved
kitchen.wav,An item is being moved among otherwise silence.,an item is being moved among otherwise silence
kitchen.wav,"a low humming constantly, a hard object hits the floor and is moved back and forth across a wood floor.",a low humming constantly a hard object hits the floor and is moved back and forth across a wood floor
kitchen_cap_1.wav,A ball being dropped on a table then rolled.,a ball being dropped on a table then rolled
kitchen_cap_2.wav,A ball drops on a table then rolls.,a ball drops on a table then rolls
