fname,raw_text,text
Eating With The Drill.wav,A drilling machine is operated with short breaks.,a drilling machine is operated with short breaks
Eating With The Drill.wav,A drilling machine is operated with some pauses,a drilling machine is operated with some pauses
Eating With The Drill.wav,A person drills the same spot over and over again.,a person drills the same spot over and over again
Eating With The Drill.wav,A rumbling comes from a small device beating onto another surface.,a rumbling comes from a small device beating onto another surface
Eating With The Drill.wav,A rumbling comes from a small device when it beats against another surface.,a rumbling comes from a small device when it beats against another surface
Eating With The Drill_cap_1.wav,A drilling machine is operated with short breaks.,a drilling machine is operated with short breaks
Eating With The Drill_cap_2.wav,A drilling machine is operated with some pauses,a drilling machine is operated with some pauses
Eating With The Drill_cap_3.wav,A person drills the same spot over and over again.,a person drills the same spot over and over again
Eating With The Drill_cap_4.wav,A rumbling comes from a small device beating onto another surface.,a rumbling comes from a small device beating onto another surface
Eating With The Drill_cap_5.wav,A rumbling comes from a small device when it beats against another surface.,a rumbling comes from a small device when it beats against another surface
Glass_Bottle_Spilling_Liquid.wav,A person playing in water in a tub.,a person playing in water in a tub
Glass_Bottle_Spilling_Liquid.wav,Liquid splashes or drips lightly at an even pace.,liquid splashes or drips lightly at an even pace
Glass_Bottle_Spilling_Liquid.wav,Liquid splashes or drips lightly at an even tempo.,liquid splashes or drips lightly at an even tempo
Glass_Bottle_Spilling_Liquid.wav,Water splashing and sloshing in a steady pace,water splashing and sloshing in a steady pace
Glass_Bottle_Spilling_Liquid.wav,a hand splashing a small amount of water pausing then repeatedly doing it again,a hand splashing a small amount of water pausing then repeatedly doing it again
Glass_Bottle_Spilling_Liquid_cap_1.wav,A person playing in water in a tub.,a person playing in water in a tub
Glass_Bottle_Spilling_Liquid_cap_2.wav,Liquid splashes or drips lightly at an even pace.,liquid splashes or drips lightly at an even pace
Glass_Bottle_Spilling_Liquid_cap_3.wav,Liquid splashes or drips lightly at an even tempo.,liquid splashes or drips lightly at an even tempo
Glass_Bottle_Spilling_Liquid_cap_4.wav,Water splashing and sloshing in a steady pace,water splashing and sloshing in a steady pace
Glass_Bottle_Spilling_Liquid_cap_5.wav,a hand splashing a small amount of water pausing then repeatedly doing it again,a hand splashing a small amount of water pausing then repeatedly doing it again
Screaming Door.wav,A high pitched squeak at consistent intervals along with some creaking.,a high pitched squeak at consistent intervals along with some creaking
Screaming Door.wav,A high pitched squeak at consistent intervals with some creaking.,a high pitched squeak at consistent intervals with some creaking
Screaming Door.wav,A long squeak is followed by many more squeaks and the wind blows softly.,a long squeak is followed by many more squeaks and the wind blows softly
Screaming Door.wav,"Door hinge or cabinet hinge squeaking, opening and closing multiple times.",door hinge or cabinet hinge squeaking opening and closing multiple times
Screaming Door.wav,Many squeaks follow the first long squeak while the wind blows softly.,many squeaks follow the first long squeak while the wind blows softly
Screaming Door_cap_1.wav,A high pitched squeak at consistent intervals along with some creaking.,a high pitched squeak at consistent intervals along with some creaking
Screaming Door_cap_2.wav,A high pitched squeak at consistent intervals with some creaking.,a high pitched squeak at consistent intervals with some creaking
Screaming Door_cap_3.wav,A long squeak is followed by many more squeaks and the wind blows softly.,a long squeak is followed by many more squeaks and the wind blows softly
Screaming Door_cap_4.wav,"Door hinge or cabinet hinge squeaking, opening and closing multiple times.",door hinge or cabinet hinge squeaking opening and closing multiple times
Screaming Door_cap_5.wav,Many squeaks follow the first long squeak while the wind blows softly.,many squeaks follow the first long squeak while the wind blows softly
waves_2.wav,A bee is buzzing while water is flowing down from a faucet followed by birds chirping.,a bee is buzzing while water is flowing down from a faucet followed by birds chirping
waves_2.wav,Rain is coming down while a fly or bee is making noise.,rain is coming down while a fly or bee is making noise
waves_2.wav,Some flies are buzzing by as some water runs underneath.,some flies are buzzing by as some water runs underneath
waves_2.wav,Some flies buzzing by as some water runs underneath.,some flies buzzing by as some water runs underneath
waves_2.wav,during the intermittent buzzing of bees water is filled and splashed as birds follow with their chirps,during the intermittent buzzing of bees water is filled and splashed as birds follow with their chirps
waves_2_cap_1.wav,A bee is buzzing while water is flowing down from a faucet followed by birds chirping.,a bee is buzzing while water is flowing down from a faucet followed by birds chirping
waves_2_cap_2.wav,Rain is coming down while a fly or bee is making noise.,rain is coming down while a fly or bee is making noise
waves_2_cap_3.wav,Some flies are buzzing by as some water runs underneath.,some flies are buzzing by as some water runs underneath
waves_2_cap_4.wav,Some flies buzzing by as some water runs underneath.,some flies buzzing by as some water runs underneath
waves_2_cap_5.wav,during the intermittent buzzing of bees water is filled and splashed as birds follow with their chirps,during the intermittent buzzing of bees water is filled and splashed as birds follow with their chirps
sonicpostcards-49GR-frenocar.wav,A beat was drumming and trumpet sounding and people in the background talking,a beat was drumming and trumpet sounding and people in the background talking
sonicpostcards-49GR-frenocar.wav,A child squeaks as other children are stomping.,a child squeaks as other children are stomping
sonicpostcards-49GR-frenocar.wav,A machine rhythmically works as water runs and people talk.,a machine rhythmically works as water runs and people talk
sonicpostcards-49GR-frenocar.wav,A machine type of almost music is going off while water is running and voices are in the back ground.,a machine type of almost music is going off while water is running and voices are in the back ground
sonicpostcards-49GR-frenocar.wav,Kids are singing stomping and one child squeaks.,kids are singing stomping and one child squeaks
sonicpostcards-49GR-frenocar_cap_1.wav,A beat was drumming and trumpet sounding and people in the background talking,a beat was drumming and trumpet sounding and people in the background talking
