file_name,caption_1,caption_2,caption_3,caption_4,caption_5
Menziken Sawmill.wav,"Heavy industrial machinery is in operation turning over regularly, but is slowly grinding to a stall.",Men are speaking loudly on a train as it slowly slows down.,Men loudly speaking on a train as it slowly slows down.,The rhythmic clacking of train wheels slowly decelerates and human voices speak.,The rhythmic clacking of train wheels slowly decelerates while human voices speak.
Menziken Sawmill_cap_1.wav,"Heavy industrial machinery is in operation turning over regularly, but is slowly grinding to a stall.",N/A,N/A,N/A,N/A
Menziken Sawmill_cap_2.wav,N/A,Men are speaking loudly on a train as it slowly slows down.,N/A,N/A,N/A
Menziken Sawmill_cap_3.wav,N/A,N/A,Men loudly speaking on a train as it slowly slows down.,N/A,N/A
Menziken Sawmill_cap_4.wav,N/A,N/A,N/A,The rhythmic clacking of train wheels slowly decelerates and human voices speak.,N/A
Menziken Sawmill_cap_5.wav,N/A,N/A,N/A,N/A,The rhythmic clacking of train wheels slowly decelerates while human voices speak.
Dripping water.wav,Fluid popping and gurgling echoes in a chamber.,"Fluid pops and gurgles, echoing inside a chamber",Someone is playing a popping effect from a synthesizer.,The popping effect of the synthesizer is created by someone playing it.,gurgling and popping noises are being made by someone in a cave.
Dripping water_cap_1.wav,Fluid popping and gurgling echoes in a chamber.,N/A,N/A,N/A,N/A
Dripping water_cap_2.wav,N/A,"Fluid pops and gurgles, echoing inside a chamber",N/A,N/A,N/A
Dripping water_cap_3.wav,N/A,N/A,Someone is playing a popping effect from a synthesizer.,N/A,N/A
Dripping water_cap_4.wav,N/A,N/A,N/A,The popping effect of the synthesizer is created by someone playing it.,N/A
Dripping water_cap_5.wav,N/A,N/A,N/A,N/A,gurgling and popping noises are being made by someone in a cave.
Rain on a construction site.wav,A bunch of water is falling from a high point.,The water dripping in the cave creates an echo.,The water in a cave is cascading and pouring into an underground lake.,Water is cascading in a hollow and pouring into an underground lake.,Water is dripping in a cave with a echo when the water drops.
Rain on a construction site_cap_1.wav,A bunch of water is falling from a high point.,N/A,N/A,N/A,N/A
Rain on a construction site_cap_2.wav,N/A,The water dripping in the cave creates an echo.,N/A,N/A,N/A
Rain on a construction site_cap_3.wav,N/A,N/A,The water in a cave is cascading and pouring into an underground lake.,N/A,N/A
Rain on a construction site_cap_4.wav,N/A,N/A,N/A,Water is cascading in a hollow and pouring into an underground lake.,N/A
Rain on a construction site_cap_5.wav,N/A,N/A,N/A,N/A,Water is dripping in a cave with a echo when the water drops.
Whining Dog.wav,A dog is continuously whimpering with faint car sounds in the background.,A dog is whimpering continuously while faint car sounds are in the background.,A dog whines in a high pitched voice repeatedly.,A dog whines over a background of traffic and nearby footsteps,A dog whining and footsteps nearby with traffic in the background.
Whining Dog_cap_1.wav,A dog is continuously whimpering with faint car sounds in the background.,N/A,N/A,N/A,N/A
Whining Dog_cap_2.wav,N/A,A dog is whimpering continuously while faint car sounds are in the background.,N/A,N/A,N/A
Whining Dog_cap_3.wav,N/A,N/A,A dog whines in a high pitched voice repeatedly.,N/A,N/A
Whining Dog_cap_4.wav,N/A,N/A,N/A,A dog whines over a background of traffic and nearby footsteps,N/A
Whining Dog_cap_5.wav,N/A,N/A,N/A,N/A,A dog whining and footsteps nearby with traffic in the background.
doorbell old.wav,"Someone is tapping on a bell, trying to fix it.",The toy piano of a child makes metallic chiming music when played.,"While trying to fix a bell, someone taps on it.","The toy piano of a child is being played, making metallic chiming music.",someone ringing a bell on a desk in an office.
doorbell old_cap_1.wav,"Someone is tapping on a bell, trying to fix it.",N/A,N/A,N/A,N/A
doorbell old_cap_2.wav,N/A,The toy piano of a child makes metallic chiming music when played.,N/A,N/A,N/A
doorbell old_cap_3.wav,N/A,N/A,"While trying to fix a bell, someone taps on it.",N/A,N/A
doorbell old_cap_4.wav,N/A,N/A,N/A,"The toy piano of a child is being played, making metallic chiming music.",N/A
doorbell old_cap_5.wav,N/A,N/A,N/A,N/A,someone ringing a bell on a desk in an office.
"Vomit, puking spilling water onto grass splat.wav",A liquid is being poured onto the ground that is covered with twigs and leaves.,Something is lifting up some water using a cup.,"The ground is covered with leaves and twigs, being wet with a liquid.",Water being gradually poured out of the bucket.,Water is poured gradually out of the bucket
"Vomit, puking spilling water onto grass splat_cap_1.wav",A liquid is being poured onto the ground that is covered with twigs and leaves.,N/A,N/A,N/A,N/A
"Vomit, puking spilling water onto grass splat_cap_2.wav",N/A,Something is lifting up some water using a cup.,N/A,N/A,N/A
"Vomit, puking spilling water onto grass splat_cap_3.wav",N/A,N/A,"The ground is covered with leaves and twigs, being wet with a liquid.",N/A,N/A
"Vomit, puking spilling water onto grass splat_cap_4.wav",N/A,N/A,N/A,Water being gradually poured out of the bucket.,N/A
"Vomit, puking spilling water onto grass splat_cap_5.wav",N/A,N/A,N/A,N/A,Water is poured gradually out of the bucket
frozenBeachWalk_1.wav,Ocean waves crash to the shore as someone walks in the sand.,Waves are crashing on the seashore and the wind is whistling.,Waves crashing in the background as a person is walking at a constant pace.,the waves are crashing on the shore and a person is walking on the wet sand,waves sound on the seashore sound and some wind sound
frozenBeachWalk_1_cap_1.wav,Ocean waves crash to the shore as someone walks in the sand.,N/A,N/A,N/A,N/A
frozenBeachWalk_1_cap_2.wav,N/A,Waves are crashing on the seashore and the wind is whistling.,N/A,N/A,N/A
frozenBeachWalk_1_cap_3.wav,N/A,N/A,Waves crashing in the background as a person is walking at a constant pace.,N/A,N/A
frozenBeachWalk_1_cap_4.wav,N/A,N/A,N/A,the waves are crashing on the shore and a person is walking on the wet sand,N/A
frozenBeachWalk_1_cap_5.wav,N/A,N/A,N/A,N/A,waves sound on the seashore sound and some wind sound
Midway Island Surf.wav,Ocean waves crash onto the shore as the wind blows.,Ocean waves crash onto the shore as wind blows,Waves crash noisily and continuously on the seashore.,Waves crash noisily on a shore as time goes on.,waves of water are rolling into the shore line
Midway Island Surf_cap_1.wav,Ocean waves crash onto the shore as the wind blows.,N/A,N/A,N/A,N/A
Midway Island Surf_cap_2.wav,N/A,Ocean waves crash onto the shore as wind blows,N/A,N/A,N/A
Midway Island Surf_cap_3.wav,N/A,N/A,Waves crash noisily and continuously on the seashore.,N/A,N/A
Midway Island Surf_cap_4.wav,N/A,N/A,N/A,Waves crash noisily on a shore as time goes on.,N/A
Midway Island Surf_cap_5.wav,N/A,N/A,N/A,N/A,waves of water are rolling into the shore line
"Elevator door opening and closing, elevator ascending two floors.wav",A big machine switched was lifted and the engine started,A car door opens and closes while a motor hums.,"Metallic thumps sound, then a machine hums and beeps.","The machine makes metallic thumping sounds, followed by hums and beeps.","The switch for a big machine is lifted up, and the engine starts."
"Elevator door opening and closing, elevator ascending two floors_cap_1.wav",A big machine switched was lifted and the engine started,N/A,N/A,N/A,N/A
"Elevator door opening and closing, elevator ascending two floors_cap_2.wav",N/A,A car door opens and closes while a motor hums.,N/A,N/A,N/A
"Elevator door opening and closing, elevator ascending two floors_cap_3.wav",N/A,N/A,"Metallic thumps sound, then a machine hums and beeps.",N/A,N/A
"Elevator door opening and closing, elevator ascending two floors_cap_4.wav",N/A,N/A,N/A,"The machine makes metallic thumping sounds, followed by hums and beeps.",N/A
"Elevator door opening and closing, elevator ascending two floors_cap_5.wav",N/A,N/A,N/A,N/A,"The switch for a big machine is lifted up, and the engine starts."
EXT Steel works far.wav,A dog barks as a man moves around a house afterwards.,Ambient vehicles echoing outside as people are doing tasks in the background.,"In a working room, moving tools and throwing them on the ground","Someone is in a garage, moving tools and throwing them on the ground.",Vehicles are moving outside while people are doing activities in the background.
EXT Steel works far_cap_1.wav,A dog barks as a man moves around a house afterwards.,N/A,N/A,N/A,N/A
EXT Steel works far_cap_2.wav,N/A,Ambient vehicles echoing outside as people are doing tasks in the background.,N/A,N/A,N/A
EXT Steel works far_cap_3.wav,N/A,N/A,"In a working room, moving tools and throwing them on the ground",N/A,N/A
EXT Steel works far_cap_4.wav,N/A,N/A,N/A,"Someone is in a garage, moving tools and throwing them on the ground.",N/A
EXT Steel works far_cap_5.wav,N/A,N/A,N/A,N/A,Vehicles are moving outside while people are doing activities in the background.
Walk From Nanjing Road East To Peoples Square.wav,A loud wind blows while children are excitedly talking and a melody plays in the background.,A loud wind blows while children excitedly talk and a melody plays in the background.,Loud wind followed by children talking and music playing.,"People converse, music plays, and a festival goes on.","people are talking with each other, music in the background an festival activities sounds are happening"
Walk From Nanjing Road East To Peoples Square_cap_1.wav,A loud wind blows while children are excitedly talking and a melody plays in the background.,N/A,N/A,N/A,N/A
Walk From Nanjing Road East To Peoples Square_cap_2.wav,N/A,A loud wind blows while children excitedly talk and a melody plays in the background.,N/A,N/A,N/A
Walk From Nanjing Road East To Peoples Square_cap_3.wav,N/A,N/A,Loud wind followed by children talking and music playing.,N/A,N/A
Walk From Nanjing Road East To Peoples Square_cap_4.wav,N/A,N/A,N/A,"People converse, music plays, and a festival goes on.",N/A
Walk From Nanjing Road East To Peoples Square_cap_5.wav,N/A,N/A,N/A,N/A,"people are talking with each other, music in the background an festival activities sounds are happening"
F907 Church prayer f.wav,A loudspeaker is broadcasting something in an echoing enclosed space.,A man is talking in a building while a crowd responds.,A speaker is saying something and the crowd repeats him.,"At the airport, something is being called out.",The man in the building speaks as the crowd responds.
