file_name,caption_1,caption_2,caption_3,caption_4,caption_5
StreetNoise.wav,Music is playing and various water jets are blasting in a car wash.,Music is playing and also the various water jets are blasting in a car wash.,Loud winds blow as multiple vehicles pass by,loud wind as multiple vehicles are passing by,"Driving fast in a car with the windows open, the wind rushing in."
dorr med metallbeslag.wav,"Someone is unlocking a door, a person speaks, and a door opens and closes.",A person hammers a wood block and plays with other tools while in his shed.,A bird is pecking around a tree and chirps.,"Someone is unlocking a door, talking to a guy, opening and closing a door.",A bird it pecking around a tree and chirps
Rattling at an iron gate.wav,Stones are being dumped slowly down a metal slide.,"Intermittent, repetitive metallic clanging from an unknown source",A cycle of something rattling then stopping repeatedly.,Someone is dumping stones down a metal slide at a slow speed.,Something is rattling and it rattles then stops rattles then stops repeatedly.
rain_metallic_gutter_sanus_excipio.wav,Water was flowing with repeated drips on a metallic surface.,The flowing of water with repeated drips on a metallic surface.,Light rainfall lands on a metal surface at varying intervals.,It is raining hard and some objects are blowing against the gutters.,Light rain falls onto metal at an irregular interval.
walking in snow in the woods.wav,A bird chirps and someone is walking through snow.,A bird chirps as someone walks through the snow.,A person walks through the woods and crunches leaves beneath their feet as birds chirp,A small animal is walking in the forest and stepping on twigs while birds are chirping in the background.,A person walks on the leafy ground of a forest.
scribbling writing on paper.wav,Scratching made by someone writing for the entire length of time.,"A person uses a marker, dragging it across the surface of the paper.",A marker is dragged across a piece of paper.,Scratching made by someone writing with a pencil for the entire time.,writing or drawing with a magic marker on paper
Steps - walk.wav,"Footsteps of several people walking,  some are stomping and people speak quietly",While people are walking some of them are talking.,a horse walking on a cobblestone street during the day,People are tap dancing together on a wooden floor.,Some people walking and a few people talking.
Uni_Folie_FountainWater2.wav,The burble of water rushes down rapidly in the shower and eventually goes down the drain.,Water is flowing down a stream and splashing.,The water steadily flows down the waterfall into the pond.,Water runs down the faucet until someone turns it off.,Water splashes as it flows down a stream.
Crowd Cheer.wav,A large audience applauds and shouts out vigorous cheers.,Many people clap their hands and shout cheerfully.,People are cheering out loud in a wild way in the crowd as someone runs by.,several different people yell and clap together continuously.,Several different individuals both yell and clap continuously and together.
INT Factory nearby 3 water dripping.wav,The dripping of water echoes in a room.,Water drips loudly inside of an automatic car wash while the hum of its machinery becomes progressively louder.,Water drips loud inside an automatic car wash while the hum of its machinery becomes progressively louder.,Water is dripping on the ground and automobiles are driving.,While automobiles are driving water is falling slowly to the ground.
20061105SumpPumpSiphon.wav,"As water boils, it pushes against the metal lid of the pan it is in.",Oil is boiling in a pot and something is being dropped in to the hot oil.,Water drips over a kitchen sink containing heavy metal objects.,Water steadily and slowly flows down a drain,Water boiling up against a metal pan lid.
20070219.ultrasonic.cleaner.wav,something continuously hisses as something slowly bangs in the background,An object hisses without pause over a slow banging in the background,A buzzing insect flies around as someone taps on a table a couple of times.,The buzzing of fan blades and periodic clacking of items placed on a hard surface.,A light buzzing in the background with some motion in foreground.
Fridge Motor 2.wav,A machine motor runs for a moment and then shuts off.,A machine is operating and then shuts off.,a engine hums continuously then is turned off.,An engine hums continuously before it is turned off.,A machine buzzes loudly at a medium high pitch and then switches off.
Boiling water in a kettle.wav,A motor runs loudly and then gradually decreases in volume.,The motor is running at a fairly even volume and pace.,A Machine is running with heavy noise and the noise is slowly decreasing.,A motor running at a fairly even volume and pace.,A motor running loudly at first and getting quieter as time goes on.
Crowd Medium.wav,Multiple people are having multiple conversations loudly in the same area.,Multiple people are having multiple conversations in the same area.,People are in a restaurant talking and socializing with each other.,A party of friends gather at restaurant to eat and socialize together.,A lot of people are together in public talking.
Harmonica_Key_Of_C_Chord_Whas 01.wav,A harmonica being played alternating between two notes.,A person plays different notes on a harmonica.,"A person plays two notes on a harmonica, alternating back and forth between them.",A person is playing different long notes with the harmonica.,Someone blows on a harmonica playing a variety of notes
City_Ambience_Cars_Night.wav,A car barrels down a road on a windy day.,All the cars and trucks take off and speed away around a turn,Somebody in a car changing gears and going faster.,The whirring of an engine as traffic goes past,The engine whirs as the traffic goes past.
smeared bell.wav,A low hum becomes louder and louder as time passes.,A low monotone grind of metal is coming from a machine of an outdoor factory.,The engine of a plane is starting up as it gets ready to take off on the runway,a low hum becomes louder and louder as time goes on.,A plane is starting up and getting ready to take off the runway
Nene Valley Railway Santa Special at the River Nene Bridge.wav,A train is rumbling by loudly in the distance.,A train is rumbling by in the distance,Rapid banging as someone pounds against a hard surface.,A train passing on a train track with its carts knocking as they pass.,A train is passing on a train track with its carts knocking as they pass.
"Trucks, cars, bicycle are  passed.wav","Strong gusts of wind blow, fade and return.",Several cars drive by slowly one by one.,Birds are tweeting while cars drive by on the road.,Several cars pass by at high speed on a busy highway,Birds tweet at times in background as cars race by and go out into the distance.
Turkish market.wav,Several people are in a group talking loudly to one another.,People in a market place are announcing something to the passing crowd.,A group of people are talking in a crowd.,People who are in a crowd are conversing,Several people in a group talking very loudly to each other.
Jilkakilka_Garden rain.wav,Rain is pouring down as footsteps are splashing in the water.,Footsteps are splashing through the water while rain is pouring down.,Water rushing and flowing as rain splatters against it.,Rain falls steadily and splashes into puddles on the ground.,Water is flowing as rain splatters against it.
2007-03-18_UnderOverpassRiverdaleRdRoyUT.wav,An engine is making noises at varying volumes.,The acceleration of a car engine as it drives by.,An engine is running and producing sound that rises and falls,A car engine accelerates as it drives by.,An engine is whirring as various automobiles rapidly pass in a high traffic area.
Golpe de puerta.wav,Something bangs five quick taps then pauses and repeats four times.,Loud tapping occurs and then stops several times,A loud tap begins and ends abruptly over time.,"A loud knock hits a hard surface four times, spaced out between short pauses.",A person uses a hammer and nails to join pieces of wood.
ATMOS People Ice Skating Frozen Lake.wav,A rustling noise is loud while people are screaming and talking.,A child is hollering off in the distance as a skateboarder rolls close by and ends up in the bushes.,A rustling noise is very loud while people are screaming and talking.,Children talk and shout in the background as a skateboarder passes by.,A child is hollering off in the distance as a skateboard rolls close by and ends up in bushes.
twangy-latch.wav,A person is using a staple gun to work.,something clicks and bangs together in a periodic motion,A person is working with a staple gun,Something wooden repeatedly being hit against something else,Something wooden is being hit repeatedly against something else
general noise vehicle interior.wav,A motor running at a fairly even volume and pace.,"Ongoing, uninterrupted whooshing becomes increasingly louder and louder.",Waves crash on the rocks as they come in,A whooshing occurs and gets louder as time goes by,An airplane flying high and fast in the air.
barabooRiver.wav,Rain is coming down on the ground with light Thunder in the background,"A loud whooshing and splashing occur, followed by a small gurgle.",Water roars continuously and occasionally bubbles and gurgles.,A downpour of rain outside is spilling into a gutter drain.,The roar of water with occasional burbling and gurgling.
windchim .wav,A wind chime blows in the wind to play different notes.,Machines are whirring quietly in addition to wind chimes.,Machines as well as wind chimes are whirring quietly.,A wind chime plays a variety of notes as it chimes in the wind,rain coming down with soft wind chimes in the background
foley clothes friction different textures.wav,A surface is being scrubbed down with a brush.,Sizzling follows a loud rustling and is then followed by more rustling.,An object is sawed and then sprayed with air.,Scrubbing comes in synchrony with water spraying in the washing machine.,An object is being sawed and then it is sprayed with air.
obres_maremagnum3.wav,Faint talking mixing with the distant hum of machinery.,"Building materials are tossed around before drilling begins and in the background, two boards get tossed one at a time.",Someone is in a mechanical room and throws down a few pieces of aluminum.,"As several people talk, the whirring of a machine is accompanied by intermittent banging.","Building materials are tossed around before drilling begins in the background and two boards get tossed, one at a time."
