file_name,caption_1,caption_2,caption_3,caption_4,caption_5
Grass crunch.wav,A person steps lightly on leaves on the ground.,An outdoor fire is burning as the fuel of branches and leaves crackles.,Fire crackling while someone is putting wood on it.,People eat as more food is frying and the wind blows.,Rustling of fresh wood and leaves burning in a camp fire.
Grass crunch_cap_1.wav,A person steps lightly on leaves on the ground.,N/A,N/A,N/A,N/A
Grass crunch_cap_2.wav,N/A,An outdoor fire is burning as the fuel of branches and leaves crackles.,N/A,N/A,N/A
Grass crunch_cap_3.wav,N/A,N/A,Fire crackling while someone is putting wood on it.,N/A,N/A
Grass crunch_cap_4.wav,N/A,N/A,N/A,People eat as more food is frying and the wind blows.,N/A
Grass crunch_cap_5.wav,N/A,N/A,N/A,N/A,Rustling of fresh wood and leaves burning in a camp fire.
Metal Grinding-Sharpening.wav,A blade is being sharpened against a sharpening stone.,A chef sharpening his knives in the kitchen,A knife is being sharpened on another piece of metal.,A knife is being sharpened upon another piece of metal.,A sharpening stone is being used to sharpen a blade.
Metal Grinding-Sharpening_cap_1.wav,A blade is being sharpened against a sharpening stone.,N/A,N/A,N/A,N/A
Metal Grinding-Sharpening_cap_2.wav,N/A,A chef sharpening his knives in the kitchen,N/A,N/A,N/A
Metal Grinding-Sharpening_cap_3.wav,N/A,N/A,A knife is being sharpened on another piece of metal.,N/A,N/A
Metal Grinding-Sharpening_cap_4.wav,N/A,N/A,N/A,A knife is being sharpened upon another piece of metal.,N/A
Metal Grinding-Sharpening_cap_5.wav,N/A,N/A,N/A,N/A,A sharpening stone is being used to sharpen a blade.
stereo ambient room kitchen indoors.wav,A chef that is cleaning his kitchen quietly.,Cars drive by on highway while a person works in a garage.,Metal is slid and then banged with a hammer.,Rain is pouring heavily outside of a factory building.,Rain pouring down outside of a factory building.
stereo ambient room kitchen indoors_cap_1.wav,A chef that is cleaning his kitchen quietly.,N/A,N/A,N/A,N/A
stereo ambient room kitchen indoors_cap_2.wav,N/A,Cars drive by on highway while a person works in a garage.,N/A,N/A,N/A
stereo ambient room kitchen indoors_cap_3.wav,N/A,N/A,Metal is slid and then banged with a hammer.,N/A,N/A
stereo ambient room kitchen indoors_cap_4.wav,N/A,N/A,N/A,Rain is pouring heavily outside of a factory building.,N/A
stereo ambient room kitchen indoors_cap_5.wav,N/A,N/A,N/A,N/A,Rain pouring down outside of a factory building.
SummerInsectsPileatedAug2010.wav,A chicken who is clucking while a bee is buzzing.,A hen is clucking while a bee is humming.,Animals in the environment making noises and getting louder and louder.,Birds chirping with insects buzzing and the buzzing gets louder and louder.,Winged creatures peeping with creepy humming and the humming gets louder and louder.
SummerInsectsPileatedAug2010_cap_1.wav,A chicken who is clucking while a bee is buzzing.,N/A,N/A,N/A,N/A
SummerInsectsPileatedAug2010_cap_2.wav,N/A,A hen is clucking while a bee is humming.,N/A,N/A,N/A
SummerInsectsPileatedAug2010_cap_3.wav,N/A,N/A,Animals in the environment making noises and getting louder and louder.,N/A,N/A
SummerInsectsPileatedAug2010_cap_4.wav,N/A,N/A,N/A,Birds chirping with insects buzzing and the buzzing gets louder and louder.,N/A
SummerInsectsPileatedAug2010_cap_5.wav,N/A,N/A,N/A,N/A,Winged creatures peeping with creepy humming and the humming gets louder and louder.
End Summer forest NL 140825-0383.wav,Birds are chirping and a bump occurs from a vehicle passing by.,"Birds are chirping, while it is windy and then some crows caw.",Birds chirp in the background as a woodpecker knocks a tree.,"Out in nature, birds are singing while a person is knocking softly on wood with a tool.",The birds are chirping and a bump occurs from a vehicle passing by.
End Summer forest NL 140825-0383_cap_1.wav,Birds are chirping and a bump occurs from a vehicle passing by.,N/A,N/A,N/A,N/A
End Summer forest NL 140825-0383_cap_2.wav,N/A,"Birds are chirping, while it is windy and then some crows caw.",N/A,N/A,N/A
End Summer forest NL 140825-0383_cap_3.wav,N/A,N/A,Birds chirp in the background as a woodpecker knocks a tree.,N/A,N/A
End Summer forest NL 140825-0383_cap_4.wav,N/A,N/A,N/A,"Out in nature, birds are singing while a person is knocking softly on wood with a tool.",N/A
End Summer forest NL 140825-0383_cap_5.wav,N/A,N/A,N/A,N/A,The birds are chirping and a bump occurs from a vehicle passing by.
enfant 1 avec fond voiture no.wav,A woman moves her stapler as she converses with another woman in an office.,"As a small group of people are talking within a large room, their voices echo.",Several people talking inside a large room with an echo.,"Someone walks, a woman speaks softly while people talk in the background.","Someone walks, a woman speaks softly, people talk in the background."
enfant 1 avec fond voiture no_cap_1.wav,A woman moves her stapler as she converses with another woman in an office.,N/A,N/A,N/A,N/A
enfant 1 avec fond voiture no_cap_2.wav,N/A,"As a small group of people are talking within a large room, their voices echo.",N/A,N/A,N/A
enfant 1 avec fond voiture no_cap_3.wav,N/A,N/A,Several people talking inside a large room with an echo.,N/A,N/A
enfant 1 avec fond voiture no_cap_4.wav,N/A,N/A,N/A,"Someone walks, a woman speaks softly while people talk in the background.",N/A
enfant 1 avec fond voiture no_cap_5.wav,N/A,N/A,N/A,N/A,"Someone walks, a woman speaks softly, people talk in the background."
terrace ambience 04.wav,A crowd converses while a drum is audibly tapped.,A crowd of people were talking and a drum began to hit,Lots of people talking and chatting at a large outdoor gathering.,Many conversations are happening as a drum is pounded.,"The people in a large, noisy crowd are simultaneously talking to each other."
terrace ambience 04_cap_1.wav,A crowd converses while a drum is audibly tapped.,N/A,N/A,N/A,N/A
terrace ambience 04_cap_2.wav,N/A,A crowd of people were talking and a drum began to hit,N/A,N/A,N/A
terrace ambience 04_cap_3.wav,N/A,N/A,Lots of people talking and chatting at a large outdoor gathering.,N/A,N/A
terrace ambience 04_cap_4.wav,N/A,N/A,N/A,Many conversations are happening as a drum is pounded.,N/A
terrace ambience 04_cap_5.wav,N/A,N/A,N/A,N/A,"The people in a large, noisy crowd are simultaneously talking to each other."
Kaffemaschine_1.wav,A machine runs evenly with a rattling buzz.,A machine runs smoothly with a rattling buzz.,"A motor buzzes loudly and ceases, afterwards wood is clanging.",The table saw cuts through a piece of wood.,table saw running cutting a piece of wood
Kaffemaschine_1_cap_1.wav,A machine runs evenly with a rattling buzz.,N/A,N/A,N/A,N/A
Kaffemaschine_1_cap_2.wav,N/A,A machine runs smoothly with a rattling buzz.,N/A,N/A,N/A
Kaffemaschine_1_cap_3.wav,N/A,N/A,"A motor buzzes loudly and ceases, afterwards wood is clanging.",N/A,N/A
Kaffemaschine_1_cap_4.wav,N/A,N/A,N/A,The table saw cuts through a piece of wood.,N/A
Kaffemaschine_1_cap_5.wav,N/A,N/A,N/A,N/A,table saw running cutting a piece of wood
Steps_on_Gravel.wav,A person is chewing on some crunchy food.,A person is walking on a wooden deck.,"A person slowly walks on wet pavement, splashing as they go.",Footsteps treading in mud lead to increased squelching.,Someone is walking threw leaves on the ground.
Steps_on_Gravel_cap_1.wav,A person is chewing on some crunchy food.,N/A,N/A,N/A,N/A
Steps_on_Gravel_cap_2.wav,N/A,A person is walking on a wooden deck.,N/A,N/A,N/A
Steps_on_Gravel_cap_3.wav,N/A,N/A,"A person slowly walks on wet pavement, splashing as they go.",N/A,N/A
Steps_on_Gravel_cap_4.wav,N/A,N/A,N/A,Footsteps treading in mud lead to increased squelching.,N/A
Steps_on_Gravel_cap_5.wav,N/A,N/A,N/A,N/A,Someone is walking threw leaves on the ground.
F1 BR 07 Starting Engines.wav,A group of people are having a conversation when a motorcycle starts its engines.,A motorcycle speeds by while an assortment of people are talking.,Engine noises in the foreground while people are screaming and whistling in the background.,People that are talking to each other near a motorcycle.,Several people talking outside while a motorcycle engine roars.
F1 BR 07 Starting Engines_cap_1.wav,A group of people are having a conversation when a motorcycle starts its engines.,N/A,N/A,N/A,N/A
F1 BR 07 Starting Engines_cap_2.wav,N/A,A motorcycle speeds by while an assortment of people are talking.,N/A,N/A,N/A
F1 BR 07 Starting Engines_cap_3.wav,N/A,N/A,Engine noises in the foreground while people are screaming and whistling in the background.,N/A,N/A
F1 BR 07 Starting Engines_cap_4.wav,N/A,N/A,N/A,People that are talking to each other near a motorcycle.,N/A
F1 BR 07 Starting Engines_cap_5.wav,N/A,N/A,N/A,N/A,Several people talking outside while a motorcycle engine roars.
sand slide on metal FF678.wav,An assortment of beads move from one container creating an echoing sound.,"Multiple, tiny beads are emptied from one container to another causing long, drawn out rattling echoes resonating over time.",Popcorn is being poured into a cooking pan.,Sand going back and forth in a metal container clanging.,The Popcorn is being added to a cooking pan.
sand slide on metal FF678_cap_1.wav,An assortment of beads move from one container creating an echoing sound.,N/A,N/A,N/A,N/A
sand slide on metal FF678_cap_2.wav,N/A,"Multiple, tiny beads are emptied from one container to another causing long, drawn out rattling echoes resonating over time.",N/A,N/A,N/A
sand slide on metal FF678_cap_3.wav,N/A,N/A,Popcorn is being poured into a cooking pan.,N/A,N/A
sand slide on metal FF678_cap_4.wav,N/A,N/A,N/A,Sand going back and forth in a metal container clanging.,N/A
sand slide on metal FF678_cap_5.wav,N/A,N/A,N/A,N/A,The Popcorn is being added to a cooking pan.
recorder_in_A_bag.wav,"A woman zips open the bag, digs through its interior, and then zips the bag back up.","A zipper is being zipped up, then a man walks through snow, then the zipper is pulled down again.",A zipper of a bag is opened and items are moved around in the bag and the zipper is closed.,"A zipper of a bag is opened, items moved around and the zipper is closed.","Someone opens a small bag, digs through it, and zips it back up."
recorder_in_A_bag_cap_1.wav,"A woman zips open the bag, digs through its interior, and then zips the bag back up.",N/A,N/A,N/A,N/A
