file_name,caption_1,caption_2,caption_3,caption_4,caption_5
Light Rain on Windscreen.wav,A light rain was falling on a plastic sheet,Plastic sheeting was being hit with light rain.,Rain patters on the outside of a tin roof.,Water heavily drips onto a percussive plastic container,Water is heavily dripping onto a percussive plastic container
Light Rain on Windscreen_cap_1.wav,A light rain was falling on a plastic sheet,N/A,N/A,N/A,N/A
Light Rain on Windscreen_cap_2.wav,N/A,Plastic sheeting was being hit with light rain.,N/A,N/A,N/A
Light Rain on Windscreen_cap_3.wav,N/A,N/A,Rain patters on the outside of a tin roof.,N/A,N/A
Light Rain on Windscreen_cap_4.wav,N/A,N/A,N/A,Water heavily drips onto a percussive plastic container,N/A
Light Rain on Windscreen_cap_5.wav,N/A,N/A,N/A,N/A,Water is heavily dripping onto a percussive plastic container
Crane ship unloading sand 1.wav,Bangs and buzzes proceed from working machinery in the background.,Someone is operating a large machine inside the room.,Someone operating a large machine in an enclosed room.,"While making locking and then unlocking noises, a mechanized gate swings from open to closed, going back and forth.",machinery sounds with a constant buzzing and banging background noise
Crane ship unloading sand 1_cap_1.wav,Bangs and buzzes proceed from working machinery in the background.,N/A,N/A,N/A,N/A
Crane ship unloading sand 1_cap_2.wav,N/A,Someone is operating a large machine inside the room.,N/A,N/A,N/A
Crane ship unloading sand 1_cap_3.wav,N/A,N/A,Someone operating a large machine in an enclosed room.,N/A,N/A
Crane ship unloading sand 1_cap_4.wav,N/A,N/A,N/A,"While making locking and then unlocking noises, a mechanized gate swings from open to closed, going back and forth.",N/A
Crane ship unloading sand 1_cap_5.wav,N/A,N/A,N/A,N/A,machinery sounds with a constant buzzing and banging background noise
Howling Storm.wav,A high pitched whistle is emitted from a machine.,A windstorm that is so strong that it is whistling.,Rushing wind picking up in speed as is starts to make a whistling sound.,The rushing wind starts to whistle as it picks up speed,The wind of a strong storm whistles as it blows
Howling Storm_cap_1.wav,A high pitched whistle is emitted from a machine.,N/A,N/A,N/A,N/A
Howling Storm_cap_2.wav,N/A,A windstorm that is so strong that it is whistling.,N/A,N/A,N/A
Howling Storm_cap_3.wav,N/A,N/A,Rushing wind picking up in speed as is starts to make a whistling sound.,N/A,N/A
Howling Storm_cap_4.wav,N/A,N/A,N/A,The rushing wind starts to whistle as it picks up speed,N/A
Howling Storm_cap_5.wav,N/A,N/A,N/A,N/A,The wind of a strong storm whistles as it blows
Oven Door.wav,A garage door is lifted and then quickly closed.,A garage door is quickly closed after being lifted.,A large door has a huge metal spring that stretches as the door is opened and closed.,A large door with huge metal spring that is stretched when opening.,A metal gate that is rusty being opened slowly.
Oven Door_cap_1.wav,A garage door is lifted and then quickly closed.,N/A,N/A,N/A,N/A
Oven Door_cap_2.wav,N/A,A garage door is quickly closed after being lifted.,N/A,N/A,N/A
Oven Door_cap_3.wav,N/A,N/A,A large door has a huge metal spring that stretches as the door is opened and closed.,N/A,N/A
Oven Door_cap_4.wav,N/A,N/A,N/A,A large door with huge metal spring that is stretched when opening.,N/A
Oven Door_cap_5.wav,N/A,N/A,N/A,N/A,A metal gate that is rusty being opened slowly.
SnappingBamboo.wav,A hard boiled egg is cracked then rolled to cause it to crack completely.,A person holding and breaking apart pieces of wood.,A person playing with an empty candy wrapper,A person plays with an empty candy wrapper,"To start a fire, a person is shaving wood."
SnappingBamboo_cap_1.wav,A hard boiled egg is cracked then rolled to cause it to crack completely.,N/A,N/A,N/A,N/A
SnappingBamboo_cap_2.wav,N/A,A person holding and breaking apart pieces of wood.,N/A,N/A,N/A
SnappingBamboo_cap_3.wav,N/A,N/A,A person playing with an empty candy wrapper,N/A,N/A
SnappingBamboo_cap_4.wav,N/A,N/A,N/A,A person plays with an empty candy wrapper,N/A
