fname,raw_text,text
Door opening_closing.wav,A closed door swings open then closes again over and over.,a closed door swings open then closes again over and over
Door opening_closing.wav,A door keeps opening and shutting on its creaking hinges several times over.,a door keeps opening and shutting on its creaking hinges several times over
Door opening_closing.wav,A door opening and shutting on creaking hinges several times.,a door opening and shutting on creaking hinges several times
Door opening_closing.wav,The door is being opened and closed over and over.,the door is being opened and closed over and over
Door opening_closing.wav,a door being opened and closed several times,a door being opened and closed several times
Door opening_closing_cap_1.wav,A closed door swings open then closes again over and over.,a closed door swings open then closes again over and over
Door opening_closing_cap_2.wav,A door keeps opening and shutting on its creaking hinges several times over.,a door keeps opening and shutting on its creaking hinges several times over
Door opening_closing_cap_3.wav,A door opening and shutting on creaking hinges several times.,a door opening and shutting on creaking hinges several times
Door opening_closing_cap_4.wav,The door is being opened and closed over and over.,the door is being opened and closed over and over
Door opening_closing_cap_5.wav,a door being opened and closed several times,a door being opened and closed several times
Train coming to a stop (recorded between two cars).wav,A train is travelling making loud crashing and hissing sounds.,a train is travelling making loud crashing and hissing sounds
Train coming to a stop (recorded between two cars).wav,A train slowing down at a station and coming to a stop,a train slowing down at a station and coming to a stop
Train coming to a stop (recorded between two cars).wav,"As it comes to a stop, a train slows down at a station.",as it comes to a stop a train slows down at a station
Train coming to a stop (recorded between two cars).wav,Inside a train car that is moving along the tracks.,inside a train car that is moving along the tracks
Train coming to a stop (recorded between two cars).wav,Inside the car of a train that is travelling along the tracks.,inside the car of a train that is travelling along the tracks
Train coming to a stop (recorded between two cars)_cap_1.wav,A train is travelling making loud crashing and hissing sounds.,a train is travelling making loud crashing and hissing sounds
Train coming to a stop (recorded between two cars)_cap_2.wav,A train slowing down at a station and coming to a stop,a train slowing down at a station and coming to a stop
Train coming to a stop (recorded between two cars)_cap_3.wav,"As it comes to a stop, a train slows down at a station.",as it comes to a stop a train slows down at a station
Train coming to a stop (recorded between two cars)_cap_4.wav,Inside a train car that is moving along the tracks.,inside a train car that is moving along the tracks
Train coming to a stop (recorded between two cars)_cap_5.wav,Inside the car of a train that is travelling along the tracks.,inside the car of a train that is travelling along the tracks
water_waterfall_small_001.wav,Heavy rain pounds loudly against a hard surface.,heavy rain pounds loudly against a hard surface
water_waterfall_small_001.wav,It is raining hard and water is pouring of a roof.,it is raining hard and water is pouring of a roof
water_waterfall_small_001.wav,It is raining hard and water is pouring off of a roof.,it is raining hard and water is pouring off of a roof
water_waterfall_small_001.wav,Water is pouring down a gutter and into a drain.,water is pouring down a gutter and into a drain
water_waterfall_small_001.wav,water rushing down a stream or along a gutter,water rushing down a stream or along a gutter
water_waterfall_small_001_cap_1.wav,Heavy rain pounds loudly against a hard surface.,heavy rain pounds loudly against a hard surface
water_waterfall_small_001_cap_2.wav,It is raining hard and water is pouring of a roof.,it is raining hard and water is pouring of a roof
water_waterfall_small_001_cap_3.wav,It is raining hard and water is pouring off of a roof.,it is raining hard and water is pouring off of a roof
water_waterfall_small_001_cap_4.wav,Water is pouring down a gutter and into a drain.,water is pouring down a gutter and into a drain
water_waterfall_small_001_cap_5.wav,water rushing down a stream or along a gutter,water rushing down a stream or along a gutter
waves beach medium5 from balcony or heavy tropical storm.wav,A downpour of rain hitting the ground noisily.,a downpour of rain hitting the ground noisily
waves beach medium5 from balcony or heavy tropical storm.wav,A heavy rain falling down outside next to a street with vehicles driving by.,a heavy rain falling down outside next to a street with vehicles driving by
waves beach medium5 from balcony or heavy tropical storm.wav,A lot of static rustles before coming to an end.,a lot of static rustles before coming to an end
waves beach medium5 from balcony or heavy tropical storm.wav,Rain is falling heavily near a street with vehicles driving by.,rain is falling heavily near a street with vehicles driving by
waves beach medium5 from balcony or heavy tropical storm.wav,Rain is pouring on the ground outdoors heavily,rain is pouring on the ground outdoors heavily
waves beach medium5 from balcony or heavy tropical storm_cap_1.wav,A downpour of rain hitting the ground noisily.,a downpour of rain hitting the ground noisily
waves beach medium5 from balcony or heavy tropical storm_cap_2.wav,A heavy rain falling down outside next to a street with vehicles driving by.,a heavy rain falling down outside next to a street with vehicles driving by
waves beach medium5 from balcony or heavy tropical storm_cap_3.wav,A lot of static rustles before coming to an end.,a lot of static rustles before coming to an end
waves beach medium5 from balcony or heavy tropical storm_cap_4.wav,Rain is falling heavily near a street with vehicles driving by.,rain is falling heavily near a street with vehicles driving by
waves beach medium5 from balcony or heavy tropical storm_cap_5.wav,Rain is pouring on the ground outdoors heavily,rain is pouring on the ground outdoors heavily
AC Unit.wav,A buzz saw creates a loud noise and then gets quieter.,a buzz saw creates a loud noise and then gets quieter
AC Unit.wav,A buzz saw starts off loud and then slowly gets quieter.,a buzz saw starts off loud and then slowly gets quieter
AC Unit.wav,A humming engine which is getting progressively quieter.,a humming engine which is getting progressively quieter
