fname,raw_text,text
Light Rain on Windscreen.wav,A light rain was falling on a plastic sheet,a light rain was falling on a plastic sheet
Light Rain on Windscreen.wav,Plastic sheeting was being hit with light rain.,plastic sheeting was being hit with light rain
Light Rain on Windscreen.wav,Rain patters on the outside of a tin roof.,rain patters on the outside of a tin roof
Light Rain on Windscreen.wav,Water heavily drips onto a percussive plastic container,water heavily drips onto a percussive plastic container
Light Rain on Windscreen.wav,Water is heavily dripping onto a percussive plastic container,water is heavily dripping onto a percussive plastic container
Light Rain on Windscreen_cap_1.wav,A light rain was falling on a plastic sheet,a light rain was falling on a plastic sheet
Light Rain on Windscreen_cap_2.wav,Plastic sheeting was being hit with light rain.,plastic sheeting was being hit with light rain
Light Rain on Windscreen_cap_3.wav,Rain patters on the outside of a tin roof.,rain patters on the outside of a tin roof
Light Rain on Windscreen_cap_4.wav,Water heavily drips onto a percussive plastic container,water heavily drips onto a percussive plastic container
Light Rain on Windscreen_cap_5.wav,Water is heavily dripping onto a percussive plastic container,water is heavily dripping onto a percussive plastic container
Crane ship unloading sand 1.wav,Bangs and buzzes proceed from working machinery in the background.,bangs and buzzes proceed from working machinery in the background
Crane ship unloading sand 1.wav,Someone is operating a large machine inside the room.,someone is operating a large machine inside the room
Crane ship unloading sand 1.wav,Someone operating a large machine in an enclosed room.,someone operating a large machine in an enclosed room
Crane ship unloading sand 1.wav,"While making locking and then unlocking noises, a mechanized gate swings from open to closed, going back and forth.",while making locking and then unlocking noises a mechanized gate swings from open to closed going back and forth
Crane ship unloading sand 1.wav,machinery sounds with a constant buzzing and banging background noise,machinery sounds with a constant buzzing and banging background noise
Crane ship unloading sand 1_cap_1.wav,Bangs and buzzes proceed from working machinery in the background.,bangs and buzzes proceed from working machinery in the background
Crane ship unloading sand 1_cap_2.wav,Someone is operating a large machine inside the room.,someone is operating a large machine inside the room
Crane ship unloading sand 1_cap_3.wav,Someone operating a large machine in an enclosed room.,someone operating a large machine in an enclosed room
