fname,raw_text,text
Menziken Sawmill.wav,"Heavy industrial machinery is in operation turning over regularly, but is slowly grinding to a stall.",heavy industrial machinery is in operation turning over regularly but is slowly grinding to a stall
Menziken Sawmill.wav,Men are speaking loudly on a train as it slowly slows down.,men are speaking loudly on a train as it slowly slows down
Menziken Sawmill.wav,Men loudly speaking on a train as it slowly slows down.,men loudly speaking on a train as it slowly slows down
Menziken Sawmill.wav,The rhythmic clacking of train wheels slowly decelerates and human voices speak.,the rhythmic clacking of train wheels slowly decelerates and human voices speak
Menziken Sawmill.wav,The rhythmic clacking of train wheels slowly decelerates while human voices speak.,the rhythmic clacking of train wheels slowly decelerates while human voices speak
Menziken Sawmill_cap_1.wav,"Heavy industrial machinery is in operation turning over regularly, but is slowly grinding to a stall.",heavy industrial machinery is in operation turning over regularly but is slowly grinding to a stall
Menziken Sawmill_cap_2.wav,Men are speaking loudly on a train as it slowly slows down.,men are speaking loudly on a train as it slowly slows down
Menziken Sawmill_cap_3.wav,Men loudly speaking on a train as it slowly slows down.,men loudly speaking on a train as it slowly slows down
Menziken Sawmill_cap_4.wav,The rhythmic clacking of train wheels slowly decelerates and human voices speak.,the rhythmic clacking of train wheels slowly decelerates and human voices speak
Menziken Sawmill_cap_5.wav,The rhythmic clacking of train wheels slowly decelerates while human voices speak.,the rhythmic clacking of train wheels slowly decelerates while human voices speak
Dripping water.wav,Fluid popping and gurgling echoes in a chamber.,fluid popping and gurgling echoes in a chamber
Dripping water.wav,"Fluid pops and gurgles, echoing inside a chamber",fluid pops and gurgles echoing inside a chamber
Dripping water.wav,Someone is playing a popping effect from a synthesizer.,someone is playing a popping effect from a synthesizer
Dripping water.wav,The popping effect of the synthesizer is created by someone playing it.,the popping effect of the synthesizer is created by someone playing it
Dripping water.wav,gurgling and popping noises are being made by someone in a cave.,gurgling and popping noises are being made by someone in a cave
Dripping water_cap_1.wav,Fluid popping and gurgling echoes in a chamber.,fluid popping and gurgling echoes in a chamber
Dripping water_cap_2.wav,"Fluid pops and gurgles, echoing inside a chamber",fluid pops and gurgles echoing inside a chamber
Dripping water_cap_3.wav,Someone is playing a popping effect from a synthesizer.,someone is playing a popping effect from a synthesizer
