fname,raw_text,text
big_zippers.wav,The bags are opened and closed repeatedly using the zipper.,the bags are opened and closed repeatedly using the zipper
big_zippers.wav,Zipper constantly running up and down with a clack in the middle.,zipper constantly running up and down with a clack in the middle
big_zippers.wav,A zipper being zipped and unzipped multiple times.,a zipper being zipped and unzipped multiple times
big_zippers.wav,A zipper being zipped and unzipped over and over.,a zipper being zipped and unzipped over and over
big_zippers.wav,Many different bags are zipped up at different speeds.,many different bags are zipped up at different speeds
big_zippers_cap_1.wav,The bags are opened and closed repeatedly using the zipper.,the bags are opened and closed repeatedly using the zipper
big_zippers_cap_2.wav,Zipper constantly running up and down with a clack in the middle.,zipper constantly running up and down with a clack in the middle
big_zippers_cap_3.wav,A zipper being zipped and unzipped multiple times.,a zipper being zipped and unzipped multiple times
big_zippers_cap_4.wav,A zipper being zipped and unzipped over and over.,a zipper being zipped and unzipped over and over
big_zippers_cap_5.wav,Many different bags are zipped up at different speeds.,many different bags are zipped up at different speeds
Ford Transit Door Start.wav,"When an engine is started, put in gear and the engine revs.",when an engine is started put in gear and the engine revs
Ford Transit Door Start.wav,"A vehicle entryway opens, at that point a vehicle starts up and starts driving.",a vehicle entryway opens at that point a vehicle starts up and starts driving
Ford Transit Door Start.wav,An engine turns over and the truck pulls away after someone climbs in and shuts the door.,an engine turns over and the truck pulls away after someone climbs in and shuts the door
Ford Transit Door Start.wav,An engine is started then put in gear and the engine revs.,an engine is started then put in gear and the engine revs
Ford Transit Door Start.wav,"A car door opens, then a vehicle fires up and begins driving.",a car door opens then a vehicle fires up and begins driving
Ford Transit Door Start_cap_1.wav,"When an engine is started, put in gear and the engine revs.",when an engine is started put in gear and the engine revs
Ford Transit Door Start_cap_2.wav,"A vehicle entryway opens, at that point a vehicle starts up and starts driving.",a vehicle entryway opens at that point a vehicle starts up and starts driving
Ford Transit Door Start_cap_3.wav,An engine turns over and the truck pulls away after someone climbs in and shuts the door.,an engine turns over and the truck pulls away after someone climbs in and shuts the door
Ford Transit Door Start_cap_4.wav,An engine is started then put in gear and the engine revs.,an engine is started then put in gear and the engine revs
Ford Transit Door Start_cap_5.wav,"A car door opens, then a vehicle fires up and begins driving.",a car door opens then a vehicle fires up and begins driving
140211-001 puka water.wav,Water burbles in a brook along a small stream.,water burbles in a brook along a small stream
140211-001 puka water.wav,A small stream of running water in a brook.,a small stream of running water in a brook
140211-001 puka water.wav,Steady flow of water rushing through the pipe.,steady flow of water rushing through the pipe
140211-001 puka water.wav,A garden water feature was left on to run constantly.,a garden water feature was left on to run constantly
140211-001 puka water.wav,Water flows into a container from a tap.,water flows into a container from a tap
140211-001 puka water_cap_1.wav,Water burbles in a brook along a small stream.,water burbles in a brook along a small stream
140211-001 puka water_cap_2.wav,A small stream of running water in a brook.,a small stream of running water in a brook
