file_name,caption_1,caption_2,caption_3,caption_4,caption_5
Door opening_closing.wav,A closed door swings open then closes again over and over.,A door keeps opening and shutting on its creaking hinges several times over.,A door opening and shutting on creaking hinges several times.,The door is being opened and closed over and over.,a door being opened and closed several times
Train coming to a stop (recorded between two cars).wav,A train is travelling making loud crashing and hissing sounds.,A train slowing down at a station and coming to a stop,"As it comes to a stop, a train slows down at a station.",Inside a train car that is moving along the tracks.,Inside the car of a train that is travelling along the tracks.
water_waterfall_small_001.wav,Heavy rain pounds loudly against a hard surface.,It is raining hard and water is pouring of a roof.,It is raining hard and water is pouring off of a roof.,Water is pouring down a gutter and into a drain.,water rushing down a stream or along a gutter
waves beach medium5 from balcony or heavy tropical storm.wav,A downpour of rain hitting the ground noisily.,A heavy rain falling down outside next to a street with vehicles driving by.,A lot of static rustles before coming to an end.,Rain is falling heavily near a street with vehicles driving by.,Rain is pouring on the ground outdoors heavily
AC Unit.wav,A buzz saw creates a loud noise and then gets quieter.,A buzz saw starts off loud and then slowly gets quieter.,A humming engine which is getting progressively quieter.,A machine buzzes over the constant hum of another machine,Humming of an engine that goes more and more quiet
Movie projector.wav,A large machine is outdoors making a whirring sound.,A large machine outdoors making a whirring sound.,A machine is running at a constant speed and a scraping of metal nearby.,An electric generator runs and gets progressively louder.,An electric generator that is running but progressively getting louder.
PlaneDroningOverForest.wav,A helicopter whirs as birds and cicadas chirp in the distance.,A person riding a bike as birds sitting on a tree cry out.,A plane is passing by and birds are singing.,Birds sing as a plane passes by overhead.,an airplane is flying down below while birds are chirping down below
Cicada summer.wav,Cicadas chirp far away and then come near.,Cicadas chirp softly at first with the chirping becoming louder.,Crickets are chirping and birds are making different noises while the wind blows.,Insect noise is in the background with a more distinct insect buzzing getting louder then quieter.,The wind blows in the trees while the birds sing and chirp together and crickets buzz in the grass.
FP_Rainstorm.wav,A mechanism spins as birds chirp in the distance,A mechanism spins as some birds chirp in the distance.,A rainstorm pours while a motorcycle engine is revving.,It is raining lightly at a steady pace while some noises echo in the back.,It is raining lightly at a steady pace while sounds echo.
"Julian&#39;s Door - open and close, hinge only.wav",A door with a gentle close mechanism is being repeatedly opened and closed to create a creaking noise.,A person is opening and closing a squeaky door,A screeching of a door being opened and closed several times.,A squeaky door is being opened and shut by a person.,The door is screeching as it is opened and closed several times.
Flowing traffic near a traffic light in the inner ring of milan.wav,A drill goes off while the traffic passes the construction site.,A drill goes off while traffic passes the construction site.,Cars and trucks passing by causing loud traffic.,The cars are passing by and then an animal chirps while in the middle of the busy street.,the cars are passing by and then an animal chirps in the middle of the busy street
