file_name,caption_1,caption_2,caption_3,caption_4,caption_5
Grass crunch.wav,A person steps lightly on leaves on the ground.,An outdoor fire is burning as the fuel of branches and leaves crackles.,Fire crackling while someone is putting wood on it.,People eat as more food is frying and the wind blows.,Rustling of fresh wood and leaves burning in a camp fire.
Metal Grinding-Sharpening.wav,A blade is being sharpened against a sharpening stone.,A chef sharpening his knives in the kitchen,A knife is being sharpened on another piece of metal.,A knife is being sharpened upon another piece of metal.,A sharpening stone is being used to sharpen a blade.
stereo ambient room kitchen indoors.wav,A chef that is cleaning his kitchen quietly.,Cars drive by on highway while a person works in a garage.,Metal is slid and then banged with a hammer.,Rain is pouring heavily outside of a factory building.,Rain pouring down outside of a factory building.
SummerInsectsPileatedAug2010.wav,A chicken who is clucking while a bee is buzzing.,A hen is clucking while a bee is humming.,Animals in the environment making noises and getting louder and louder.,Birds chirping with insects buzzing and the buzzing gets louder and louder.,Winged creatures peeping with creepy humming and the humming gets louder and louder.
End Summer forest NL 140825-0383.wav,Birds are chirping and a bump occurs from a vehicle passing by.,"Birds are chirping, while it is windy and then some crows caw.",Birds chirp in the background as a woodpecker knocks a tree.,"Out in nature, birds are singing while a person is knocking softly on wood with a tool.",The birds are chirping and a bump occurs from a vehicle passing by.
enfant 1 avec fond voiture no.wav,A woman moves her stapler as she converses with another woman in an office.,"As a small group of people are talking within a large room, their voices echo.",Several people talking inside a large room with an echo.,"Someone walks, a woman speaks softly while people talk in the background.","Someone walks, a woman speaks softly, people talk in the background."
terrace ambience 04.wav,A crowd converses while a drum is audibly tapped.,A crowd of people were talking and a drum began to hit,Lots of people talking and chatting at a large outdoor gathering.,Many conversations are happening as a drum is pounded.,"The people in a large, noisy crowd are simultaneously talking to each other."
Kaffemaschine_1.wav,A machine runs evenly with a rattling buzz.,A machine runs smoothly with a rattling buzz.,"A motor buzzes loudly and ceases, afterwards wood is clanging.",The table saw cuts through a piece of wood.,table saw running cutting a piece of wood
Steps_on_Gravel.wav,A person is chewing on some crunchy food.,A person is walking on a wooden deck.,"A person slowly walks on wet pavement, splashing as they go.",Footsteps treading in mud lead to increased squelching.,Someone is walking threw leaves on the ground.
F1 BR 07 Starting Engines.wav,A group of people are having a conversation when a motorcycle starts its engines.,A motorcycle speeds by while an assortment of people are talking.,Engine noises in the foreground while people are screaming and whistling in the background.,People that are talking to each other near a motorcycle.,Several people talking outside while a motorcycle engine roars.
