file_name,caption_1,caption_2,caption_3,caption_4,caption_5
Eating With The Drill.wav,A drilling machine is operated with short breaks.,A drilling machine is operated with some pauses,A person drills the same spot over and over again.,A rumbling comes from a small device beating onto another surface.,A rumbling comes from a small device when it beats against another surface.
Eating With The Drill_cap_1.wav,A drilling machine is operated with short breaks.,N/A,N/A,N/A,N/A
Eating With The Drill_cap_2.wav,N/A,A drilling machine is operated with some pauses,N/A,N/A,N/A
Eating With The Drill_cap_3.wav,N/A,N/A,A person drills the same spot over and over again.,N/A,N/A
Eating With The Drill_cap_4.wav,N/A,N/A,N/A,A rumbling comes from a small device beating onto another surface.,N/A
Eating With The Drill_cap_5.wav,N/A,N/A,N/A,N/A,A rumbling comes from a small device when it beats against another surface.
Glass_Bottle_Spilling_Liquid.wav,A person playing in water in a tub.,Liquid splashes or drips lightly at an even pace.,Liquid splashes or drips lightly at an even tempo.,Water splashing and sloshing in a steady pace,a hand splashing a small amount of water pausing then repeatedly doing it again
Glass_Bottle_Spilling_Liquid_cap_1.wav,A person playing in water in a tub.,N/A,N/A,N/A,N/A
Glass_Bottle_Spilling_Liquid_cap_2.wav,N/A,Liquid splashes or drips lightly at an even pace.,N/A,N/A,N/A
Glass_Bottle_Spilling_Liquid_cap_3.wav,N/A,N/A,Liquid splashes or drips lightly at an even tempo.,N/A,N/A
Glass_Bottle_Spilling_Liquid_cap_4.wav,N/A,N/A,N/A,Water splashing and sloshing in a steady pace,N/A
Glass_Bottle_Spilling_Liquid_cap_5.wav,N/A,N/A,N/A,N/A,a hand splashing a small amount of water pausing then repeatedly doing it again
Screaming Door.wav,A high pitched squeak at consistent intervals along with some creaking.,A high pitched squeak at consistent intervals with some creaking.,A long squeak is followed by many more squeaks and the wind blows softly.,"Door hinge or cabinet hinge squeaking, opening and closing multiple times.",Many squeaks follow the first long squeak while the wind blows softly.
Screaming Door_cap_1.wav,A high pitched squeak at consistent intervals along with some creaking.,N/A,N/A,N/A,N/A
Screaming Door_cap_2.wav,N/A,A high pitched squeak at consistent intervals with some creaking.,N/A,N/A,N/A
Screaming Door_cap_3.wav,N/A,N/A,A long squeak is followed by many more squeaks and the wind blows softly.,N/A,N/A
Screaming Door_cap_4.wav,N/A,N/A,N/A,"Door hinge or cabinet hinge squeaking, opening and closing multiple times.",N/A
Screaming Door_cap_5.wav,N/A,N/A,N/A,N/A,Many squeaks follow the first long squeak while the wind blows softly.
waves_2.wav,A bee is buzzing while water is flowing down from a faucet followed by birds chirping.,Rain is coming down while a fly or bee is making noise.,Some flies are buzzing by as some water runs underneath.,Some flies buzzing by as some water runs underneath.,during the intermittent buzzing of bees water is filled and splashed as birds follow with their chirps
waves_2_cap_1.wav,A bee is buzzing while water is flowing down from a faucet followed by birds chirping.,N/A,N/A,N/A,N/A
waves_2_cap_2.wav,N/A,Rain is coming down while a fly or bee is making noise.,N/A,N/A,N/A
waves_2_cap_3.wav,N/A,N/A,Some flies are buzzing by as some water runs underneath.,N/A,N/A
waves_2_cap_4.wav,N/A,N/A,N/A,Some flies buzzing by as some water runs underneath.,N/A
waves_2_cap_5.wav,N/A,N/A,N/A,N/A,during the intermittent buzzing of bees water is filled and splashed as birds follow with their chirps
sonicpostcards-49GR-frenocar.wav,A beat was drumming and trumpet sounding and people in the background talking,A child squeaks as other children are stomping.,A machine rhythmically works as water runs and people talk.,A machine type of almost music is going off while water is running and voices are in the back ground.,Kids are singing stomping and one child squeaks.
sonicpostcards-49GR-frenocar_cap_1.wav,A beat was drumming and trumpet sounding and people in the background talking,N/A,N/A,N/A,N/A
sonicpostcards-49GR-frenocar_cap_2.wav,N/A,A child squeaks as other children are stomping.,N/A,N/A,N/A
sonicpostcards-49GR-frenocar_cap_3.wav,N/A,N/A,A machine rhythmically works as water runs and people talk.,N/A,N/A
sonicpostcards-49GR-frenocar_cap_4.wav,N/A,N/A,N/A,A machine type of almost music is going off while water is running and voices are in the back ground.,N/A
sonicpostcards-49GR-frenocar_cap_5.wav,N/A,N/A,N/A,N/A,Kids are singing stomping and one child squeaks.
Munich Cathedral.wav,A person is playing an organ and people are moving around.,A person playing an organ with people whispering.,A person plays an organ while people are whispering.,"Church music, church organ, people unintelligible talking whispering.","People are talking in whispers, with the church organ playing church music in the background."
Munich Cathedral_cap_1.wav,A person is playing an organ and people are moving around.,N/A,N/A,N/A,N/A
Munich Cathedral_cap_2.wav,N/A,A person playing an organ with people whispering.,N/A,N/A,N/A
Munich Cathedral_cap_3.wav,N/A,N/A,A person plays an organ while people are whispering.,N/A,N/A
Munich Cathedral_cap_4.wav,N/A,N/A,N/A,"Church music, church organ, people unintelligible talking whispering.",N/A
Munich Cathedral_cap_5.wav,N/A,N/A,N/A,N/A,"People are talking in whispers, with the church organ playing church music in the background."
Tiny bells.wav,A container with metal in it is being shaken.,A person shakes a bottle and shakes money from the bottle.,"A person shakes a bottle, which drops out some money.",Stirring of water in a glass with a spoon fast and ending up very slowly,"Water in a glass is stirred with a spoon, at first quickly and eventually very slowly."
Tiny bells_cap_1.wav,A container with metal in it is being shaken.,N/A,N/A,N/A,N/A
Tiny bells_cap_2.wav,N/A,A person shakes a bottle and shakes money from the bottle.,N/A,N/A,N/A
Tiny bells_cap_3.wav,N/A,N/A,"A person shakes a bottle, which drops out some money.",N/A,N/A
Tiny bells_cap_4.wav,N/A,N/A,N/A,Stirring of water in a glass with a spoon fast and ending up very slowly,N/A
Tiny bells_cap_5.wav,N/A,N/A,N/A,N/A,"Water in a glass is stirred with a spoon, at first quickly and eventually very slowly."
elicottero.wav,"A helicopter flies through the sky, passing a person on the ground.","A helicopter is flying above, getting closer and louder after first flying away.",An helicopter flying above and getting closer and louder after going away.,An helicopter from afar flew closer and left.,An helicopter in the distance became close and then flew away.
elicottero_cap_1.wav,"A helicopter flies through the sky, passing a person on the ground.",N/A,N/A,N/A,N/A
elicottero_cap_2.wav,N/A,"A helicopter is flying above, getting closer and louder after first flying away.",N/A,N/A,N/A
elicottero_cap_3.wav,N/A,N/A,An helicopter flying above and getting closer and louder after going away.,N/A,N/A
elicottero_cap_4.wav,N/A,N/A,N/A,An helicopter from afar flew closer and left.,N/A
elicottero_cap_5.wav,N/A,N/A,N/A,N/A,An helicopter in the distance became close and then flew away.
bus.wav,A truck picking up speed and then continues to drive down the street.,A truck picks up speed as it continues down the road.,"An engine revs up, then fades away into the distance where it then slows.","Near a semi enclosed space, trucks mix with traffic.",Trucks mixed with traffic running near a semi enclosed space.
bus_cap_1.wav,A truck picking up speed and then continues to drive down the street.,N/A,N/A,N/A,N/A
bus_cap_2.wav,N/A,A truck picks up speed as it continues down the road.,N/A,N/A,N/A
bus_cap_3.wav,N/A,N/A,"An engine revs up, then fades away into the distance where it then slows.",N/A,N/A
bus_cap_4.wav,N/A,N/A,N/A,"Near a semi enclosed space, trucks mix with traffic.",N/A
bus_cap_5.wav,N/A,N/A,N/A,N/A,Trucks mixed with traffic running near a semi enclosed space.
Medium sized hand bell at diffrent tones.wav,"A small bell being rung, first slowly and then more quickly.",A small bell is ringing with short pauses as time goes on.,Bells going off every so often getting louder and louder.,Bells ring intermittently and become louder and louder.,Someone is ringing a small bell repeatedly with brief intervals in between.
Medium sized hand bell at diffrent tones_cap_1.wav,"A small bell being rung, first slowly and then more quickly.",N/A,N/A,N/A,N/A
Medium sized hand bell at diffrent tones_cap_2.wav,N/A,A small bell is ringing with short pauses as time goes on.,N/A,N/A,N/A
Medium sized hand bell at diffrent tones_cap_3.wav,N/A,N/A,Bells going off every so often getting louder and louder.,N/A,N/A
Medium sized hand bell at diffrent tones_cap_4.wav,N/A,N/A,N/A,Bells ring intermittently and become louder and louder.,N/A
Medium sized hand bell at diffrent tones_cap_5.wav,N/A,N/A,N/A,N/A,Someone is ringing a small bell repeatedly with brief intervals in between.
Heavy construction in progress.wav,A motor vehicle is running with speed and stopped its engine,"As a jackhammer or another small engine begins to start, the engine of a vehicle is revved then driven away.",Someone is operating some heavy machinery and then shuts it off.,"Someone operates some heavy machinery, then shuts it off.",The was a jackhammer running at a construction site in the distance.
Heavy construction in progress_cap_1.wav,A motor vehicle is running with speed and stopped its engine,N/A,N/A,N/A,N/A
Heavy construction in progress_cap_2.wav,N/A,"As a jackhammer or another small engine begins to start, the engine of a vehicle is revved then driven away.",N/A,N/A,N/A
Heavy construction in progress_cap_3.wav,N/A,N/A,Someone is operating some heavy machinery and then shuts it off.,N/A,N/A
Heavy construction in progress_cap_4.wav,N/A,N/A,N/A,"Someone operates some heavy machinery, then shuts it off.",N/A
Heavy construction in progress_cap_5.wav,N/A,N/A,N/A,N/A,The was a jackhammer running at a construction site in the distance.
Rain on Window with Thunder.wav,An individual walks alone through the wind and rain.,Booming sounds and light rain of a distant approaching storm,Booming thunder and light rain from an approaching storm.,Rain falling with thunder in the background once,The thunder roars loudly while the rain falls.
Rain on Window with Thunder_cap_1.wav,An individual walks alone through the wind and rain.,N/A,N/A,N/A,N/A
Rain on Window with Thunder_cap_2.wav,N/A,Booming sounds and light rain of a distant approaching storm,N/A,N/A,N/A
Rain on Window with Thunder_cap_3.wav,N/A,N/A,Booming thunder and light rain from an approaching storm.,N/A,N/A
Rain on Window with Thunder_cap_4.wav,N/A,N/A,N/A,Rain falling with thunder in the background once,N/A
Rain on Window with Thunder_cap_5.wav,N/A,N/A,N/A,N/A,The thunder roars loudly while the rain falls.
Lake Waves 2.wav,At a consistent rate someone wades through somewhat deep water,"Because of the unsteady flow, the water splashed around.",The dishes are being washed and rinsed in a sink,Water is flowing at unsteady rates splashing around.,a person is taking a bath and washing in the tub
Lake Waves 2_cap_1.wav,At a consistent rate someone wades through somewhat deep water,N/A,N/A,N/A,N/A
Lake Waves 2_cap_2.wav,N/A,"Because of the unsteady flow, the water splashed around.",N/A,N/A,N/A
Lake Waves 2_cap_3.wav,N/A,N/A,The dishes are being washed and rinsed in a sink,N/A,N/A
Lake Waves 2_cap_4.wav,N/A,N/A,N/A,Water is flowing at unsteady rates splashing around.,N/A
Lake Waves 2_cap_5.wav,N/A,N/A,N/A,N/A,a person is taking a bath and washing in the tub
wind-phonelines.wav,A loud wind blows in the background as waves crash onto a shore.,A loud wind is blowing in the background as waves crash onto a shore.,A wind blows constantly at an unsteady intensity.,The wind blows at a medium to heavy speed.,Waves and also white noise hit the shoreline.
wind-phonelines_cap_1.wav,A loud wind blows in the background as waves crash onto a shore.,N/A,N/A,N/A,N/A
wind-phonelines_cap_2.wav,N/A,A loud wind is blowing in the background as waves crash onto a shore.,N/A,N/A,N/A
wind-phonelines_cap_3.wav,N/A,N/A,A wind blows constantly at an unsteady intensity.,N/A,N/A
wind-phonelines_cap_4.wav,N/A,N/A,N/A,The wind blows at a medium to heavy speed.,N/A
wind-phonelines_cap_5.wav,N/A,N/A,N/A,N/A,Waves and also white noise hit the shoreline.
Dentist Chair Hydraulics.wav,A machine is running until it turns off and then turns back on.,"A machine is running, turns off, and turns back on,",A machine that is in a low power mode then being turned on.,The machine is struggling to turn on and once is does it starts a low humming.,The machine is struggling to turn on and once is does it starts a lowly humming.
Dentist Chair Hydraulics_cap_1.wav,A machine is running until it turns off and then turns back on.,N/A,N/A,N/A,N/A
Dentist Chair Hydraulics_cap_2.wav,N/A,"A machine is running, turns off, and turns back on,",N/A,N/A,N/A
Dentist Chair Hydraulics_cap_3.wav,N/A,N/A,A machine that is in a low power mode then being turned on.,N/A,N/A
Dentist Chair Hydraulics_cap_4.wav,N/A,N/A,N/A,The machine is struggling to turn on and once is does it starts a low humming.,N/A
Dentist Chair Hydraulics_cap_5.wav,N/A,N/A,N/A,N/A,The machine is struggling to turn on and once is does it starts a lowly humming.
washing hands in the sink.wav,A faucet is running water as the person washes their hand in it.,"Faucet water runs while a person washes their hands, then they turn the faucet off.","The sink runs as hands are rinsed, then the sink is turned off, and the hands are shaken.",Water is very slowly and lightly flowing from a faucet.,a sink runs while hands are rinsed then turned off and hands are shaken to remove water.
washing hands in the sink_cap_1.wav,A faucet is running water as the person washes their hand in it.,N/A,N/A,N/A,N/A
washing hands in the sink_cap_2.wav,N/A,"Faucet water runs while a person washes their hands, then they turn the faucet off.",N/A,N/A,N/A
washing hands in the sink_cap_3.wav,N/A,N/A,"The sink runs as hands are rinsed, then the sink is turned off, and the hands are shaken.",N/A,N/A
washing hands in the sink_cap_4.wav,N/A,N/A,N/A,Water is very slowly and lightly flowing from a faucet.,N/A
washing hands in the sink_cap_5.wav,N/A,N/A,N/A,N/A,a sink runs while hands are rinsed then turned off and hands are shaken to remove water.
RowanMagennis_160019_SD100_Sweeping.wav,"A broom in a chopping, sweeping movement, across a hardwood floor",A broom is cleaning the floor and sweeping.,A broom whispers softly as it sweeps across a concrete floor.,"Someone is sweeping the floor, first with some short strokes and then a few longer strokes with the broom.",Someone sweeping the floor with a straw broom.
RowanMagennis_160019_SD100_Sweeping_cap_1.wav,"A broom in a chopping, sweeping movement, across a hardwood floor",N/A,N/A,N/A,N/A
