file_name,caption_1,caption_2,caption_3,caption_4,caption_5
Menziken Sawmill.wav,"Heavy industrial machinery is in operation turning over regularly, but is slowly grinding to a stall.",Men are speaking loudly on a train as it slowly slows down.,Men loudly speaking on a train as it slowly slows down.,The rhythmic clacking of train wheels slowly decelerates and human voices speak.,The rhythmic clacking of train wheels slowly decelerates while human voices speak.
Dripping water.wav,Fluid popping and gurgling echoes in a chamber.,"Fluid pops and gurgles, echoing inside a chamber",Someone is playing a popping effect from a synthesizer.,The popping effect of the synthesizer is created by someone playing it.,gurgling and popping noises are being made by someone in a cave.
Rain on a construction site.wav,A bunch of water is falling from a high point.,The water dripping in the cave creates an echo.,The water in a cave is cascading and pouring into an underground lake.,Water is cascading in a hollow and pouring into an underground lake.,Water is dripping in a cave with a echo when the water drops.
Whining Dog.wav,A dog is continuously whimpering with faint car sounds in the background.,A dog is whimpering continuously while faint car sounds are in the background.,A dog whines in a high pitched voice repeatedly.,A dog whines over a background of traffic and nearby footsteps,A dog whining and footsteps nearby with traffic in the background.
doorbell old.wav,"Someone is tapping on a bell, trying to fix it.",The toy piano of a child makes metallic chiming music when played.,"While trying to fix a bell, someone taps on it.","The toy piano of a child is being played, making metallic chiming music.",someone ringing a bell on a desk in an office.
"Vomit, puking spilling water onto grass splat.wav",A liquid is being poured onto the ground that is covered with twigs and leaves.,Something is lifting up some water using a cup.,"The ground is covered with leaves and twigs, being wet with a liquid.",Water being gradually poured out of the bucket.,Water is poured gradually out of the bucket
frozenBeachWalk_1.wav,Ocean waves crash to the shore as someone walks in the sand.,Waves are crashing on the seashore and the wind is whistling.,Waves crashing in the background as a person is walking at a constant pace.,the waves are crashing on the shore and a person is walking on the wet sand,waves sound on the seashore sound and some wind sound
Midway Island Surf.wav,Ocean waves crash onto the shore as the wind blows.,Ocean waves crash onto the shore as wind blows,Waves crash noisily and continuously on the seashore.,Waves crash noisily on a shore as time goes on.,waves of water are rolling into the shore line
"Elevator door opening and closing, elevator ascending two floors.wav",A big machine switched was lifted and the engine started,A car door opens and closes while a motor hums.,"Metallic thumps sound, then a machine hums and beeps.","The machine makes metallic thumping sounds, followed by hums and beeps.","The switch for a big machine is lifted up, and the engine starts."
EXT Steel works far.wav,A dog barks as a man moves around a house afterwards.,Ambient vehicles echoing outside as people are doing tasks in the background.,"In a working room, moving tools and throwing them on the ground","Someone is in a garage, moving tools and throwing them on the ground.",Vehicles are moving outside while people are doing activities in the background.
