fname,raw_text,text
Grass crunch.wav,A person steps lightly on leaves on the ground.,a person steps lightly on leaves on the ground
Grass crunch.wav,An outdoor fire is burning as the fuel of branches and leaves crackles.,an outdoor fire is burning as the fuel of branches and leaves crackles
Grass crunch.wav,Fire crackling while someone is putting wood on it.,fire crackling while someone is putting wood on it
Grass crunch.wav,People eat as more food is frying and the wind blows.,people eat as more food is frying and the wind blows
Grass crunch.wav,Rustling of fresh wood and leaves burning in a camp fire.,rustling of fresh wood and leaves burning in a camp fire
Grass crunch_cap_1.wav,A person steps lightly on leaves on the ground.,a person steps lightly on leaves on the ground
Grass crunch_cap_2.wav,An outdoor fire is burning as the fuel of branches and leaves crackles.,an outdoor fire is burning as the fuel of branches and leaves crackles
Grass crunch_cap_3.wav,Fire crackling while someone is putting wood on it.,fire crackling while someone is putting wood on it
Grass crunch_cap_4.wav,People eat as more food is frying and the wind blows.,people eat as more food is frying and the wind blows
Grass crunch_cap_5.wav,Rustling of fresh wood and leaves burning in a camp fire.,rustling of fresh wood and leaves burning in a camp fire
Metal Grinding-Sharpening.wav,A blade is being sharpened against a sharpening stone.,a blade is being sharpened against a sharpening stone
Metal Grinding-Sharpening.wav,A chef sharpening his knives in the kitchen,a chef sharpening his knives in the kitchen
Metal Grinding-Sharpening.wav,A knife is being sharpened on another piece of metal.,a knife is being sharpened on another piece of metal
Metal Grinding-Sharpening.wav,A knife is being sharpened upon another piece of metal.,a knife is being sharpened upon another piece of metal
Metal Grinding-Sharpening.wav,A sharpening stone is being used to sharpen a blade.,a sharpening stone is being used to sharpen a blade
Metal Grinding-Sharpening_cap_1.wav,A blade is being sharpened against a sharpening stone.,a blade is being sharpened against a sharpening stone
Metal Grinding-Sharpening_cap_2.wav,A chef sharpening his knives in the kitchen,a chef sharpening his knives in the kitchen
Metal Grinding-Sharpening_cap_3.wav,A knife is being sharpened on another piece of metal.,a knife is being sharpened on another piece of metal
Metal Grinding-Sharpening_cap_4.wav,A knife is being sharpened upon another piece of metal.,a knife is being sharpened upon another piece of metal
Metal Grinding-Sharpening_cap_5.wav,A sharpening stone is being used to sharpen a blade.,a sharpening stone is being used to sharpen a blade
stereo ambient room kitchen indoors.wav,A chef that is cleaning his kitchen quietly.,a chef that is cleaning his kitchen quietly
stereo ambient room kitchen indoors.wav,Cars drive by on highway while a person works in a garage.,cars drive by on highway while a person works in a garage
stereo ambient room kitchen indoors.wav,Metal is slid and then banged with a hammer.,metal is slid and then banged with a hammer
stereo ambient room kitchen indoors.wav,Rain is pouring heavily outside of a factory building.,rain is pouring heavily outside of a factory building
stereo ambient room kitchen indoors.wav,Rain pouring down outside of a factory building.,rain pouring down outside of a factory building
stereo ambient room kitchen indoors_cap_1.wav,A chef that is cleaning his kitchen quietly.,a chef that is cleaning his kitchen quietly
stereo ambient room kitchen indoors_cap_2.wav,Cars drive by on highway while a person works in a garage.,cars drive by on highway while a person works in a garage
stereo ambient room kitchen indoors_cap_3.wav,Metal is slid and then banged with a hammer.,metal is slid and then banged with a hammer
stereo ambient room kitchen indoors_cap_4.wav,Rain is pouring heavily outside of a factory building.,rain is pouring heavily outside of a factory building
stereo ambient room kitchen indoors_cap_5.wav,Rain pouring down outside of a factory building.,rain pouring down outside of a factory building
SummerInsectsPileatedAug2010.wav,A chicken who is clucking while a bee is buzzing.,a chicken who is clucking while a bee is buzzing
SummerInsectsPileatedAug2010.wav,A hen is clucking while a bee is humming.,a hen is clucking while a bee is humming
SummerInsectsPileatedAug2010.wav,Animals in the environment making noises and getting louder and louder.,animals in the environment making noises and getting louder and louder
SummerInsectsPileatedAug2010.wav,Birds chirping with insects buzzing and the buzzing gets louder and louder.,birds chirping with insects buzzing and the buzzing gets louder and louder
SummerInsectsPileatedAug2010.wav,Winged creatures peeping with creepy humming and the humming gets louder and louder.,winged creatures peeping with creepy humming and the humming gets louder and louder
SummerInsectsPileatedAug2010_cap_1.wav,A chicken who is clucking while a bee is buzzing.,a chicken who is clucking while a bee is buzzing
SummerInsectsPileatedAug2010_cap_2.wav,A hen is clucking while a bee is humming.,a hen is clucking while a bee is humming
SummerInsectsPileatedAug2010_cap_3.wav,Animals in the environment making noises and getting louder and louder.,animals in the environment making noises and getting louder and louder
SummerInsectsPileatedAug2010_cap_4.wav,Birds chirping with insects buzzing and the buzzing gets louder and louder.,birds chirping with insects buzzing and the buzzing gets louder and louder
SummerInsectsPileatedAug2010_cap_5.wav,Winged creatures peeping with creepy humming and the humming gets louder and louder.,winged creatures peeping with creepy humming and the humming gets louder and louder
End Summer forest NL 140825-0383.wav,Birds are chirping and a bump occurs from a vehicle passing by.,birds are chirping and a bump occurs from a vehicle passing by
End Summer forest NL 140825-0383.wav,"Birds are chirping, while it is windy and then some crows caw.",birds are chirping while it is windy and then some crows caw
End Summer forest NL 140825-0383.wav,Birds chirp in the background as a woodpecker knocks a tree.,birds chirp in the background as a woodpecker knocks a tree
End Summer forest NL 140825-0383.wav,"Out in nature, birds are singing while a person is knocking softly on wood with a tool.",out in nature birds are singing while a person is knocking softly on wood with a tool
End Summer forest NL 140825-0383.wav,The birds are chirping and a bump occurs from a vehicle passing by.,the birds are chirping and a bump occurs from a vehicle passing by
End Summer forest NL 140825-0383_cap_1.wav,Birds are chirping and a bump occurs from a vehicle passing by.,birds are chirping and a bump occurs from a vehicle passing by
End Summer forest NL 140825-0383_cap_2.wav,"Birds are chirping, while it is windy and then some crows caw.",birds are chirping while it is windy and then some crows caw
End Summer forest NL 140825-0383_cap_3.wav,Birds chirp in the background as a woodpecker knocks a tree.,birds chirp in the background as a woodpecker knocks a tree
End Summer forest NL 140825-0383_cap_4.wav,"Out in nature, birds are singing while a person is knocking softly on wood with a tool.",out in nature birds are singing while a person is knocking softly on wood with a tool
End Summer forest NL 140825-0383_cap_5.wav,The birds are chirping and a bump occurs from a vehicle passing by.,the birds are chirping and a bump occurs from a vehicle passing by
enfant 1 avec fond voiture no.wav,A woman moves her stapler as she converses with another woman in an office.,a woman moves her stapler as she converses with another woman in an office
enfant 1 avec fond voiture no.wav,"As a small group of people are talking within a large room, their voices echo.",as a small group of people are talking within a large room their voices echo
enfant 1 avec fond voiture no.wav,Several people talking inside a large room with an echo.,several people talking inside a large room with an echo
enfant 1 avec fond voiture no.wav,"Someone walks, a woman speaks softly while people talk in the background.",someone walks a woman speaks softly while people talk in the background
enfant 1 avec fond voiture no.wav,"Someone walks, a woman speaks softly, people talk in the background.",someone walks a woman speaks softly people talk in the background
