file_name,caption_1,caption_2,caption_3,caption_4,caption_5
Light Rain on Windscreen.wav,A light rain was falling on a plastic sheet,Plastic sheeting was being hit with light rain.,Rain patters on the outside of a tin roof.,Water heavily drips onto a percussive plastic container,Water is heavily dripping onto a percussive plastic container
Crane ship unloading sand 1.wav,Bangs and buzzes proceed from working machinery in the background.,Someone is operating a large machine inside the room.,Someone operating a large machine in an enclosed room.,"While making locking and then unlocking noises, a mechanized gate swings from open to closed, going back and forth.",machinery sounds with a constant buzzing and banging background noise
Howling Storm.wav,A high pitched whistle is emitted from a machine.,A windstorm that is so strong that it is whistling.,Rushing wind picking up in speed as is starts to make a whistling sound.,The rushing wind starts to whistle as it picks up speed,The wind of a strong storm whistles as it blows
Oven Door.wav,A garage door is lifted and then quickly closed.,A garage door is quickly closed after being lifted.,A large door has a huge metal spring that stretches as the door is opened and closed.,A large door with huge metal spring that is stretched when opening.,A metal gate that is rusty being opened slowly.
SnappingBamboo.wav,A hard boiled egg is cracked then rolled to cause it to crack completely.,A person holding and breaking apart pieces of wood.,A person playing with an empty candy wrapper,A person plays with an empty candy wrapper,"To start a fire, a person is shaving wood."
Creek 115.wav,The water burbles as the stream goes downstream.,Water flowing in a stream as rain is falling.,Water is gently flowing in a small river.,Water is loudly flowing in a natural stream of water.,Water loudly flowing in a natural stream of water.
creek01a.wav,A loud rushing powerful water that is coming from farther up the stream.,The water flows at a constant rate of speed.,The water is flowing rapidly down a stream.,The water is flowing rather quickly down a stream,Water is flowing from a valve loudly and steady.
creeky chair.wav,A creaky wooden door is slowly opened and then closed by a person .,A person slowly opening and then closing a creaky wooden door.,An old wooden floorboard creaking and moaning under the weight of someone.,One hard object being dragged and scrapped against another hard wooden object.,The old wooden floor is creaking as someone is walking or standing over it.
Crepe Making.wav,A fire crackles as bugs chirp in the wilderness,A fire in a fire pit is burning and a door opens.,A fire is burning in a fire pit then a door opens.,Water began to flow onto the bag and a container was sealed,Water started to flow on a plastic bag and a container was closed
Crickets and dogs barking at night in a residential district of Tucson. City and cars in the far background.wav,"Crickets chirp and dogs bark, while cars drive past.",Crickets chirp and then a dog barks off in the distance.,Crickets chirp nearby as the wind howls loudly.,"Dogs bark, one dog increasing in volume, surrounded by insects at night.",Insects at night while dogs bark and the bark of one dog becomes louder.
crickets and owls.wav,"An insect buzzes in the foreground, with a shrieking bird in the background.",Buzzing insect with a shrieking bird in the background.,Insect wings whir and pause in the background as a bird screeches and a dog barks.,Multiple insect wings alternately whir and pause in the background as a bird screeches and a dog barks.,in the forest with a little bit of rain and a bird talking and a wolf howling.
Crow noise.wav,A crow can be heard loudly and then it seems a person is imitating the sound.,A crow crows loudly as a person is heard imitating the sound.,Someone is pretending to be a hawk by making hawk noises.,Repeating of a grunting sound is done several times by a person.,a man making a sound twice loudly then one low sound.
Hail and Rain in the Courtyard.wav,A person is in the shower with the water running.,Being under a building while it is raining outside,Rain patters down rhythmically as thunder crashes from a distance.,Someone stands under a building while it is raining outside.,Stormy weather occurs over a cement stairwell and walkway.
transmission.wav,A couple of guys were talking when one of their cell phones started ringing.,Guys are talking and a cell phone rings.,Some people are talking beside a road while cars drive by.,Some people were talking beside the road with moving cars,Various people are talking while traffic passes by in the background.
Door Handle and Lock.wav,A clip clopping of a horse and crunching back and forth.,"A gun is loaded, then loaded by hand some more.","A person fumbles with the metal latch of a box, opening and closing it repeatedly.",Someone is assembling something with metal pieces and then locks it into place.,Someone is assembling something with metal pieces and then locks it swiftly into place.
Crumple Paper.wav,A piece of paper is crinkled and moved around multiple times.,Four times paper is crumpled into a ball,Paper is crumpled into a ball four times.,The crinkle of paper as if someone is wrapping something.,The crinkle of paper emanates as something is unwrapped
crumpling paper.wav,A cellophane bag is noisily crumpled as it is torn open.,A person crunching a potato chip bag and eating,A person holding and crinkling a bunch of paper.,A person is crinkling a bunch of paper.,someone tearing open and crumpling a cellophane bag
Crunching Snow Edited.wav,Leaves and branches crunch beneath the weight of another object.,Leaves and sticks crunch underneath footsteps on the trail.,Leaves and twigs are crunched under the weight of a heavier object.,"Shoes walking along a hard packed trail, covered with leaves and twigs.",someone is walking further and further away on a gravelled surface
cupboard-twang1.wav,A loose railing is being knocked upon for its reverb.,A pounding is performed on a surface that vibrates.,A small hammer being used against wooden material,"For its reverberation, a loose railing is being knocked.",The wood reverberates as it is hit by a stick.
Slider door.wav,"A person pulled the cord to lift the blinds, then open the window.","A sliding door screen is opened, then the glass sliding object is opened, then the glass sliding object is closed.","Moving through the plastic, and opening and shutting a drawer.",The wheel of the lawn mower squeaks as it cuts the grass.,"Three sets of doors are opened, including the glass, then the screen, then the glass again."
Dawn chorus - Makvaneti.wav,Bird chirping and the cock crowed and birds continued chirped,Birds are chirping and then a rooster crows and more birds chirp.,Many birds whistle continuously while a rooster crows in the distance.,"Many birds whistle continuously, a rooster crows in the distance.",With the Birds chirping the cock crowed and the birds continued to chirp.
DeLorean DMC-12  - Approach and Stop.wav,A motorcycle revs its engine louder and louder as cars pass by.,A person driving motorcycle coming into a garage.,A vehicle stops and the driver begins revving the engine as traffic goes by in the background.,"Drivers pass by with their motors running, or stop before revving up their motors again or remaining idle.",Someone on a motorcycle drives into a garage.
Deplacez-vous.wav,"A police siren, followed by a megaphone announcement, then short siren blasts.","An ambulance sound driving, stopping and starting again",A fire alarm going off and on with people talking,People are talking while an alarm goes off and on.,Sirens go off then a bit of talking followed by more sirens.
Steps Indoor medium soft Shoe Sole accompanying wooden Floor hollow Big Room 6mx15mx6m Part 2.wav,Footsteps walk on a wooden floor with an even rhythm and then increase their speed.,Footsteps walking along a wooden floor in an even rhythm then speeding up significantly.,Someone walking with a heavy foot and then picking up speed from a slow walk to a quick walk.,Steps cascade the plain wooden surface of the floor.,Steps cascade the wooden plain surface of the floor.
desertwind1FINAL.wav,"Air is rushing past, with a high pitched howl",As the air rushed past it made a high pitched howl.,Really muffled noise of wind blowing through an opening or a car driving.,The blustering wind rages outside throughout the storm.,The wind blowing hard outside during a storm.
T24_home_dishwasher_cycle change.wav,A monotone engine rumbles and water runs in the background making slight splashes as it pools.,An airplane engine humming then starts to rev up.,"As it forms a pool, water runs making slight splashes while a monotone engine rumbles.",Several cars drive down a street while a machine whirs in the background.,Several cars driving by on a street while a machine whirs in the background.
lets_go_to_see_it.wav,A car goes by as footsteps tread and fireworks burst.,Fireworks burst rapidly as footsteps fall and a car passes by.,Fireworks exploding in the distance while something crackles in the background.,"Large booms with small wet smacks, traffic passes in the distance","Nearby something crackles, as fireworks explode in the distance."
"Different birds, birds swimming, wind, footsteps.wav",A bird chirps as it gets closer and closer.,A bird is chipping very loud as it gets closer.,"In order to attract others, the birds were chirping, cawing, and calling out to other birds.",a bird screeching that goes in and out with other birds in the background,"Birds chirping, cawing, calling out to attract other birds."
Digging with shovel.wav,A shovel busily digs a hole in the ground or soil.,A boy is digging in some rocky ground.,Hitting rocks and breaking soil while shoveling into the ground.,Shoveling in the ground while hitting rocks and breaking soil.,shovel is being used to dig a hole in the ground
dish drumroll metal spoons.wav,As the silverware moves inside the glass container it makes clanking sounds.,"Inside a large glass pitcher, a tablespoon makes a clinking sound.",Silverware being banged and scraped against glass plates,Someone is clinging a piece of cutlery on a glass continuously.,Someone is clinging a piece of cutlery on a glass.
Dishwasher idling.wav,A buzzing and clicking in a small silent room.,A creaking hinge croaks as the object moves slowly.,A machine is performing some precise operation producing clip and winding noises repeatedly and regularly.,"A machine is performing some precise operation, producing clip and winding noises over and over.",Something in a small quiet room buzzes and clicks.
Distant Firework Barrage (Aerial cake).wav,A person sets off fireworks in the woods,Crickets chirp as fireworks explode in the distance,Fireworks are being set off in the woods.,Fireworks going off in the distance with crickets in the background.,a person fires a round from a pistol followed by rapid fire.
Shower turning on and off with drain noise.wav,A hose is being run while a generator is running in the background.,A person running a shower and adjusting the shower knob.,A person running the shower is adjusting the shower knobs.,Rain falling outside while dripping on a driveway.,Water falling within a shower followed by a knob being turned
St. Marks NWR Boat-tailed Grackle.wav,A bird is chirping and then flapping his wings over and over,Birds are chirping and cackling in an enclosed area while a child whimpers.,Birds are chirping and then they go quiet and a dove coos and birds start chirping again.,"Birds are chirping then go quiet, then a dove coos as the birds start chirping again.",Birds chirping and cackling in an enclosed area and a child whimpering in the background.
Medium Dog Growl.wav,A dog growling at another dog that is walking by.,A dog is growling rather furiously at something.,A large angry dog is growling at something indoors.,An angry dog grows fiercely and barks menacingly.,The snarling of a dog signals aggressive feelings toward a second dog passing by it.
Dog growling.wav,A dog is eating while growling at another approaching.,A dog is eating while at the same time snarling at another drawing nearer.,An animal chews and slurps as it eats.,An animal growling and licking in the foreground.,An animal growls and sniffs through its nose.
Dog walking on laminate.wav,A person quietly scrapes sticks against each other and intermittently blows at them to build friction and spark heat.,A person sniffs repeatedly while the sound of metal clicking speeds up.,A person sniffs repeatedly while a metal object is clicking speeds up.,Air blows onto objects as the objects rub against each other.,Someone blowing onto hard objects and the objects rubbing against each other.
Empty laundry.wav,A floor is being scrubbed as people talk in the background.,"A low, mechanical hum resonates in the background as a woman speaks briefly while sweeping the floor.","A low, mechanical hum resonates in the background as a woman sweeps the floor while conversing with someone else.",The vacuum cleaner runs as two woman talk in the background.,"in a large hall a machine working, female speaking"
Door creaking.wav,A door makes a high pitched sound as it is opened and closed a couple of times.,A door squeaks with a high pitch as it is opened.,An opening and closing cabinet door is creaking and squeaking.,A very squeaky cabinet door is being slowly opened and closed to maximize the creaking.,A wooden door very slowly opening and closing as it creaks.
Walking in Circles around fountain.wav,A person is walking near flowing water and sniffling while the wind blows.,Someone walking near the flowing water who is sniffling as the wind blows.,Water flows and wind blows as the person sniffles.,"Wind blows in the foreground, while water trickles in the background.",wind noises in the foreground with water noises in the background
door-knock-open-close-wooden_close.wav,A tapping on the door which then becomes louder followed by banging on the door.,"Door, knocking on hard surface with knuckles, then hitting hard surface with palm.",Knuckles rap on a door first gently then more violently.,Some tapping on the door then becomes louder followed by banging on the door.,"continuous tapping, knocking, pounding, hammering of objects into other objects"
Flat door action.wav,A door is pushed open on squeaky hinges and then pushed shut again.,Someone is opening and closing a squeaky door.,Someone repeatedly opens and closes a squeaky door.,Someone walks in and opens the wooden box before then leaving through a creaky door.,"a door being unlocked, unlatched, squeaking open and being closed again"
Downtown Cars drive by (wind).wav,A man briefly speaks into an audio device then a low static frequency resonates outward,A man is speaking close by and people are talking in the distance.,A man speaking close by and people talking in the distance.,A person whispers and then that individual sets down a cup.,A person whispers and then the person sets a cup down.
Drawers opening and closing.wav,A person slides a dresser drawer back and forth,An object being dragged across a hard surface in the foreground.,Plates of wood are pulled across a tabletop and then a small hammer is used to strike them.,Someone who is sweeping the floor with the back of a push broom.,The dresser is slid back and forth by the person.
Metal Bearing rolling spinning Start to Stop continuous Slow down creaky 2.wav,A glass marble came to a stop after it rolled around in a metal container.,An industrial metal working room with a spinning angle grinder which slows to a stall.,Metal is being shaped with a machine that files it against other metal.,The engine is running but then it slowly begins to stop.,"metal is being shaped, filed against other metal with machine"
Thunder Outside.wav,A thunderstorm is rumbling and making thunder in the distance.,"During the storm, thunder rumbles in the distance.",Laundry is being hung up on the line while the wind blows.,"Muffled wind, along with rambling and banging, were in the background.",Something has fallen onto the floor and rolled away.
Driving.wav,A loud noise from the distance accompanied by movement,A plane is taking off whilst the cabin pressure builds.,High winds blow as a vehicle engine roars,"Someone records traffic sounds, as they travel down the road.",The wind is blowing very hard and steady as a vehicle engine roars by.
drop.wav,A drop of water drips from the faucet into the pot.,A liquid substance is plopping down from a surface.,A liquid substance plops down from above to the ground below.,Oil dripping from the bottom of an engine onto the floor.,a lot of drops of water fall from a faucet and make a humming noise.
drops.wav,It is water dropping from a faucet or even a hose.,Loud dripping water which gets louder with door closing several rooms away,Loud dripping water which gradually gets louder with door closing several rooms away,Water drips from a faucet while a person moves from room to room in the background.,Water is dripping from a faucet while a person moves from room to room in the background.
Water Streaming #5.wav,A pond fountain is running steadily moving water.,A pool of water is formed from a stream as it flows over rocks.,In a brook outside water ran over the rocks.,Water from a stream flowing over rocks and collecting into a pool.,the steady flow of a pond fountain running
