fname,raw_text,text
StreetNoise.wav,Music is playing and various water jets are blasting in a car wash.,music is playing and various water jets are blasting in a car wash
StreetNoise.wav,Music is playing and also the various water jets are blasting in a car wash.,music is playing and also the various water jets are blasting in a car wash
StreetNoise.wav,Loud winds blow as multiple vehicles pass by,loud winds blow as multiple vehicles pass by
StreetNoise.wav,loud wind as multiple vehicles are passing by,loud wind as multiple vehicles are passing by
StreetNoise.wav,"Driving fast in a car with the windows open, the wind rushing in.",driving fast in a car with the windows open the wind rushing in
StreetNoise_cap_1.wav,Music is playing and various water jets are blasting in a car wash.,music is playing and various water jets are blasting in a car wash
StreetNoise_cap_2.wav,Music is playing and also the various water jets are blasting in a car wash.,music is playing and also the various water jets are blasting in a car wash
StreetNoise_cap_3.wav,Loud winds blow as multiple vehicles pass by,loud winds blow as multiple vehicles pass by
StreetNoise_cap_4.wav,loud wind as multiple vehicles are passing by,loud wind as multiple vehicles are passing by
StreetNoise_cap_5.wav,"Driving fast in a car with the windows open, the wind rushing in.",driving fast in a car with the windows open the wind rushing in
dorr med metallbeslag.wav,"Someone is unlocking a door, a person speaks, and a door opens and closes.",someone is unlocking a door a person speaks and a door opens and closes
dorr med metallbeslag.wav,A person hammers a wood block and plays with other tools while in his shed.,a person hammers a wood block and plays with other tools while in his shed
dorr med metallbeslag.wav,A bird is pecking around a tree and chirps.,a bird is pecking around a tree and chirps
dorr med metallbeslag.wav,"Someone is unlocking a door, talking to a guy, opening and closing a door.",someone is unlocking a door talking to a guy opening and closing a door
dorr med metallbeslag.wav,A bird it pecking around a tree and chirps,a bird it pecking around a tree and chirps
dorr med metallbeslag_cap_1.wav,"Someone is unlocking a door, a person speaks, and a door opens and closes.",someone is unlocking a door a person speaks and a door opens and closes
dorr med metallbeslag_cap_2.wav,A person hammers a wood block and plays with other tools while in his shed.,a person hammers a wood block and plays with other tools while in his shed
dorr med metallbeslag_cap_3.wav,A bird is pecking around a tree and chirps.,a bird is pecking around a tree and chirps
