file_name,caption_1,caption_2,caption_3,caption_4,caption_5
33_bluemonkeys_kakamega.wav,"Outside, birds make incredibly sharp and tinny bird calls.",Several Birds are chirping in a wooded area.,"Some birds are tweeting, chirping and whistling at various tones.","Some birds are tweeting, chirping and whistling in various tones.",Some birds outside making incredibly sharp and quick bird calls.
33_bluemonkeys_kakamega_cap_1.wav,"Outside, birds make incredibly sharp and tinny bird calls.",N/A,N/A,N/A,N/A
33_bluemonkeys_kakamega_cap_2.wav,N/A,Several Birds are chirping in a wooded area.,N/A,N/A,N/A
33_bluemonkeys_kakamega_cap_3.wav,N/A,N/A,"Some birds are tweeting, chirping and whistling at various tones.",N/A,N/A
33_bluemonkeys_kakamega_cap_4.wav,N/A,N/A,N/A,"Some birds are tweeting, chirping and whistling in various tones.",N/A
33_bluemonkeys_kakamega_cap_5.wav,N/A,N/A,N/A,N/A,Some birds outside making incredibly sharp and quick bird calls.
atmos_trainStation.wav,A musical chime is followed by the voice of a tinny announcer.,A warning bell sounds and a woman talks over a loud speaker system in a public place.,A warning bell sounds and a woman talks over a tannoy system in a public place.,A woman is speaking over an intercom system.,An intercom system intensifies the voice of a woman who is speaking through it.
atmos_trainStation_cap_1.wav,A musical chime is followed by the voice of a tinny announcer.,N/A,N/A,N/A,N/A
atmos_trainStation_cap_2.wav,N/A,A warning bell sounds and a woman talks over a loud speaker system in a public place.,N/A,N/A,N/A
atmos_trainStation_cap_3.wav,N/A,N/A,A warning bell sounds and a woman talks over a tannoy system in a public place.,N/A,N/A
atmos_trainStation_cap_4.wav,N/A,N/A,N/A,A woman is speaking over an intercom system.,N/A
atmos_trainStation_cap_5.wav,N/A,N/A,N/A,N/A,An intercom system intensifies the voice of a woman who is speaking through it.
Heavy Walking in the Evening.wav,A person is walking and two twigs are broken when they are stepped on.,"Crickets chirp in the background as a person walks briskly, kicking a flimsy object around.",Crickets chirp in the background as a person walks quickly while kicking a flimsy object around.,Someone steps on two twigs and breaks them while walking.,"crickets singing, someone walking, and a soda can being opened"
Heavy Walking in the Evening_cap_1.wav,A person is walking and two twigs are broken when they are stepped on.,N/A,N/A,N/A,N/A
Heavy Walking in the Evening_cap_2.wav,N/A,"Crickets chirp in the background as a person walks briskly, kicking a flimsy object around.",N/A,N/A,N/A
Heavy Walking in the Evening_cap_3.wav,N/A,N/A,Crickets chirp in the background as a person walks quickly while kicking a flimsy object around.,N/A,N/A
Heavy Walking in the Evening_cap_4.wav,N/A,N/A,N/A,Someone steps on two twigs and breaks them while walking.,N/A
Heavy Walking in the Evening_cap_5.wav,N/A,N/A,N/A,N/A,"crickets singing, someone walking, and a soda can being opened"
