fname,raw_text,text
Distorted AM Radio noise.wav,A muddled noise of broken channel of the TV,a muddled noise of broken channel of the tv
Distorted AM Radio noise.wav,A television blares the rhythm of a static TV.,a television blares the rhythm of a static tv
Distorted AM Radio noise.wav,Loud television static dips in and out of focus,loud television static dips in and out of focus
Distorted AM Radio noise.wav,The loud buzz of static constantly changes pitch and volume.,the loud buzz of static constantly changes pitch and volume
Distorted AM Radio noise.wav,heavy static and the beginnings of a signal on a transistor radio,heavy static and the beginnings of a signal on a transistor radio
Distorted AM Radio noise_cap_1.wav,A muddled noise of broken channel of the TV,a muddled noise of broken channel of the tv
Distorted AM Radio noise_cap_2.wav,A television blares the rhythm of a static TV.,a television blares the rhythm of a static tv
Distorted AM Radio noise_cap_3.wav,Loud television static dips in and out of focus,loud television static dips in and out of focus
Distorted AM Radio noise_cap_4.wav,The loud buzz of static constantly changes pitch and volume.,the loud buzz of static constantly changes pitch and volume
Distorted AM Radio noise_cap_5.wav,heavy static and the beginnings of a signal on a transistor radio,heavy static and the beginnings of a signal on a transistor radio
Paper_Parchment_Rustling.wav,A person is turning a map over and over.,a person is turning a map over and over
Paper_Parchment_Rustling.wav,A person is very carefully rapping a gift for someone else.,a person is very carefully rapping a gift for someone else
Paper_Parchment_Rustling.wav,A person is very carefully wrapping a gift for someone else.,a person is very carefully wrapping a gift for someone else
Paper_Parchment_Rustling.wav,"He sighed as he turned the pages of the book, stopping to scan the information.",he sighed as he turned the pages of the book stopping to scan the information
Paper_Parchment_Rustling.wav,"papers are being turned, stopped, then turned again and someone is breathing.",papers are being turned stopped then turned again and someone is breathing
Paper_Parchment_Rustling_cap_1.wav,A person is turning a map over and over.,a person is turning a map over and over
Paper_Parchment_Rustling_cap_2.wav,A person is very carefully rapping a gift for someone else.,a person is very carefully rapping a gift for someone else
Paper_Parchment_Rustling_cap_3.wav,A person is very carefully wrapping a gift for someone else.,a person is very carefully wrapping a gift for someone else
Paper_Parchment_Rustling_cap_4.wav,"He sighed as he turned the pages of the book, stopping to scan the information.",he sighed as he turned the pages of the book stopping to scan the information
Paper_Parchment_Rustling_cap_5.wav,"papers are being turned, stopped, then turned again and someone is breathing.",papers are being turned stopped then turned again and someone is breathing
03 Whales Slowing Down.wav,Several barnyard animals mooing in a barn while it rains outside.,several barnyard animals mooing in a barn while it rains outside
03 Whales Slowing Down.wav,"The vocalization of several whales, along with the clicking of large numbers of shrimp, reverberated below in the water.",the vocalization of several whales along with the clicking of large numbers of shrimp reverberated below in the water
03 Whales Slowing Down.wav,"Underwater, large numbers of shrimp clicking and several whales vocalizing.",underwater large numbers of shrimp clicking and several whales vocalizing
03 Whales Slowing Down.wav,Whales sing to one another over the flowing water in the distance.,whales sing to one another over the flowing water in the distance
03 Whales Slowing Down.wav,whales sing to one another with water flowing in the background,whales sing to one another with water flowing in the background
03 Whales Slowing Down_cap_1.wav,Several barnyard animals mooing in a barn while it rains outside.,several barnyard animals mooing in a barn while it rains outside
03 Whales Slowing Down_cap_2.wav,"The vocalization of several whales, along with the clicking of large numbers of shrimp, reverberated below in the water.",the vocalization of several whales along with the clicking of large numbers of shrimp reverberated below in the water
03 Whales Slowing Down_cap_3.wav,"Underwater, large numbers of shrimp clicking and several whales vocalizing.",underwater large numbers of shrimp clicking and several whales vocalizing
03 Whales Slowing Down_cap_4.wav,Whales sing to one another over the flowing water in the distance.,whales sing to one another over the flowing water in the distance
03 Whales Slowing Down_cap_5.wav,whales sing to one another with water flowing in the background,whales sing to one another with water flowing in the background
Rope tied to boat in port.wav,An office chair is squeaking as someone bends back and forth in it.,an office chair is squeaking as someone bends back and forth in it
Rope tied to boat in port.wav,Popping and squeaking gradually tapers off to a low level.,popping and squeaking gradually tapers off to a low level
Rope tied to boat in port.wav,Someone is opening a creaky door slowly while a dog barks in the background,someone is opening a creaky door slowly while a dog barks in the background
Rope tied to boat in port.wav,Squeaking and popping followed by gradual popping and tapering off.,squeaking and popping followed by gradual popping and tapering off
Rope tied to boat in port.wav,an office chair is squeaking as someone leans forward and backward in it,an office chair is squeaking as someone leans forward and backward in it
Rope tied to boat in port_cap_1.wav,An office chair is squeaking as someone bends back and forth in it.,an office chair is squeaking as someone bends back and forth in it
Rope tied to boat in port_cap_2.wav,Popping and squeaking gradually tapers off to a low level.,popping and squeaking gradually tapers off to a low level
Rope tied to boat in port_cap_3.wav,Someone is opening a creaky door slowly while a dog barks in the background,someone is opening a creaky door slowly while a dog barks in the background
Rope tied to boat in port_cap_4.wav,Squeaking and popping followed by gradual popping and tapering off.,squeaking and popping followed by gradual popping and tapering off
Rope tied to boat in port_cap_5.wav,an office chair is squeaking as someone leans forward and backward in it,an office chair is squeaking as someone leans forward and backward in it
carpenter bee.wav,A flying bee is buzzing loudly around an object and its wing hits it.,a flying bee is buzzing loudly around an object and its wing hits it
carpenter bee.wav,An annoying fly is buzzing loudly and consistently.,an annoying fly is buzzing loudly and consistently
carpenter bee.wav,An insect buzzing in the foreground as birds chirp in the background.,an insect buzzing in the foreground as birds chirp in the background
carpenter bee.wav,"An insect trapped in a spider web struggles, breaks free and flies away.",an insect trapped in a spider web struggles breaks free and flies away
carpenter bee.wav,"Outdoors, insect trapped in a spider web and then breaks loose and flies away.",outdoors insect trapped in a spider web and then breaks loose and flies away
carpenter bee_cap_1.wav,A flying bee is buzzing loudly around an object and its wing hits it.,a flying bee is buzzing loudly around an object and its wing hits it
carpenter bee_cap_2.wav,An annoying fly is buzzing loudly and consistently.,an annoying fly is buzzing loudly and consistently
carpenter bee_cap_3.wav,An insect buzzing in the foreground as birds chirp in the background.,an insect buzzing in the foreground as birds chirp in the background
carpenter bee_cap_4.wav,"An insect trapped in a spider web struggles, breaks free and flies away.",an insect trapped in a spider web struggles breaks free and flies away
carpenter bee_cap_5.wav,"Outdoors, insect trapped in a spider web and then breaks loose and flies away.",outdoors insect trapped in a spider web and then breaks loose and flies away
violin1.wav,A bow playing a stringed instrument in a one note tone repeatedly before violins join to create the melody.,a bow playing a stringed instrument in a one note tone repeatedly before violins join to create the melody
violin1.wav,A low stringed instrument drones a steady tone and is eventually joined by violins.,a low stringed instrument drones a steady tone and is eventually joined by violins
violin1.wav,A large stringed instrument and a pair of violins are playing.,a large stringed instrument and a pair of violins are playing
violin1.wav,A musical instrument creates a tune and is followed by other instruments.,a musical instrument creates a tune and is followed by other instruments
violin1.wav,An orchestra practicing for an upcoming concert in an enclosed room.,an orchestra practicing for an upcoming concert in an enclosed room
violin1_cap_1.wav,A bow playing a stringed instrument in a one note tone repeatedly before violins join to create the melody.,a bow playing a stringed instrument in a one note tone repeatedly before violins join to create the melody
violin1_cap_2.wav,A low stringed instrument drones a steady tone and is eventually joined by violins.,a low stringed instrument drones a steady tone and is eventually joined by violins
violin1_cap_3.wav,A large stringed instrument and a pair of violins are playing.,a large stringed instrument and a pair of violins are playing
violin1_cap_4.wav,A musical instrument creates a tune and is followed by other instruments.,a musical instrument creates a tune and is followed by other instruments
violin1_cap_5.wav,An orchestra practicing for an upcoming concert in an enclosed room.,an orchestra practicing for an upcoming concert in an enclosed room
121006_rain&amp;storm.wav,"As thunder claps far in the distance, the rain pours down.",as thunder claps far in the distance the rain pours down
121006_rain&amp;storm.wav,Rain pours down and thunder claps far in the distance.,rain pours down and thunder claps far in the distance
121006_rain&amp;storm.wav,Substantial rain and wind are pouring and spouting around and thunder is available.,substantial rain and wind are pouring and spouting around and thunder is available
